institution;doi;period;euro;is_hybrid
Bill & Melinda Gates Foundation;10.1186/s40249-024-01175-7;2024;2485,02;FALSCH
Bill & Melinda Gates Foundation;10.1017/s1368980024000211;2024;3497,9;FALSCH
Bill & Melinda Gates Foundation;10.12688/f1000research.131230.2;2023;1006,78;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12936-024-04842-0;2024;2587,01;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14642.2;2023;1102,07;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pgph.0002467;2024;1947,21;FALSCH
Bill & Melinda Gates Foundation;10.1002/tpg2.20428;2024;2587,03;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pgph.0002754;2024;1947,21;FALSCH
Bill & Melinda Gates Foundation;10.1007/s42729-023-01609-5;2024;2632,63;WAHR
Bill & Melinda Gates Foundation;10.3389/frhs.2023.1292510;2024;893,96;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpls.2023.1321308;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pone.0291990;2023;1713,42;FALSCH
Bill & Melinda Gates Foundation;10.3389/fanim.2023.1308911;2024;1176,74;FALSCH
Bill & Melinda Gates Foundation;10.3389/fagro.2023.1303869;2024;1942,99;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12889-023-17592-6;2024;2865,19;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmed.2023.1294699;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpls.2023.1322406;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.1111/mcn.13622;2024;3310,28;FALSCH
Bill & Melinda Gates Foundation;10.7189/jogh.14.04016;2023;3046,79;FALSCH
Bill & Melinda Gates Foundation;10.3389/fnut.2023.1340679;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.3389/fvets.2023.1324647;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpsyg.2023.1202239;2024;2946,41;FALSCH
Bill & Melinda Gates Foundation;10.1186/s13690-024-01239-y;2024;2661,19;FALSCH
Bill & Melinda Gates Foundation;10.3389/fgene.2023.1282240;2024;2946,41;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12974-024-03012-y;2024;3514,26;FALSCH
Bill & Melinda Gates Foundation;10.1155/2024/9912987;2024;916,2;FALSCH
Bill & Melinda Gates Foundation;10.1186/s40795-023-00815-9;2024;1937,94;FALSCH
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0552;2023;3306,78;WAHR
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14682.2;2023;809,23;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41591-023-02743-4;2024;10839,49;WAHR
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14679.2;2023;1102,07;FALSCH
Bill & Melinda Gates Foundation;10.1038/s44294-023-00003-x;2024;1988,15;WAHR
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15015.1;2024;1078,43;FALSCH
Bill & Melinda Gates Foundation;10.3389/fnut.2023.1277804;2024;2946,41;FALSCH
Bill & Melinda Gates Foundation;10.1017/s1368980024000028;2024;2335,23;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmed.2023.1327415;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpubh.2023.1302756;2024;3059,93;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41587-023-02078-y;2024;10683,78;WAHR
Bill & Melinda Gates Foundation;10.1186/s13104-023-06639-x;2024;1567,04;FALSCH
Bill & Melinda Gates Foundation;10.3389/fbioe.2023.1286694;2024;2946,41;FALSCH
Bill & Melinda Gates Foundation;10.3389/fsoc.2023.1264816;2024;702,39;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpls.2023.1326766;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.1017/s1368980023002963;2024;2449,32;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpls.2023.1269005;2023;3000,35;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pntd.0011772;2024;2290,5;FALSCH
Bill & Melinda Gates Foundation;10.3390/agronomy14010128;2024;2344,35;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14991.1;2024;804,25;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.15078.1;2024;1078,43;FALSCH
Bill & Melinda Gates Foundation;10.1111/tpj.16610;2024;4747,99;WAHR
Bill & Melinda Gates Foundation;10.1186/s12913-023-10489-5;2024;2865,19;FALSCH
Bill & Melinda Gates Foundation;10.3389/fmicb.2023.1277019;2024;2946,41;FALSCH
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0554;2023;2366,6;WAHR
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0444;2023;2290,13;WAHR
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0255;2023;2799,9;WAHR
Bill & Melinda Gates Foundation;10.3389/fpls.2023.1290078;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12936-023-04830-w;2024;2504,15;FALSCH
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0134;2023;4960,17;WAHR
Bill & Melinda Gates Foundation;10.1038/s41467-023-44188-w;2024;5920,18;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pgph.0002251;2023;1980,83;FALSCH
Bill & Melinda Gates Foundation;10.1038/s41591-023-02659-z;2023;10717,39;WAHR
Bill & Melinda Gates Foundation;10.1016/s2468-2667(23)00306-7;2024;5287,75;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.vaccine.2023.12.031;2024;3106,29;WAHR
Bill & Melinda Gates Foundation;10.1016/j.jafr.2023.100960;2024;1752,5;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjopen-2023-074562;2024;2647,82;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00490-4;2024;5282,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ijedudev.2023.102949;2024;2979,4;WAHR
Bill & Melinda Gates Foundation;10.1016/j.advnut.2024.100181;2024;4574,18;WAHR
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00469-2;2024;5282,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.stemcr.2023.12.003;2024;3523,55;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.bmcl.2023.129596;2024;3495,73;WAHR
Bill & Melinda Gates Foundation;10.1016/j.vaccine.2023.11.035;2024;3198,74;WAHR
Bill & Melinda Gates Foundation;10.1016/j.vaccine.2023.11.046;2024;3198,74;WAHR
Bill & Melinda Gates Foundation;10.1016/j.vaccine.2023.11.042;2024;3198,74;WAHR
Bill & Melinda Gates Foundation;10.1016/j.vaccine.2023.12.056;2024;3106,29;WAHR
Bill & Melinda Gates Foundation;10.1016/j.jclepro.2023.140240;2024;3801,73;WAHR
Bill & Melinda Gates Foundation;10.1016/j.ijid.2023.11.011;2023;631,65;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.jdeveco.2023.103199;2023;3614,03;WAHR
Bill & Melinda Gates Foundation;10.1016/j.isci.2024.109006;2024;2881,73;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ijheh.2023.114288;2024;3235,29;WAHR
Bill & Melinda Gates Foundation;10.1016/j.foodpol.2023.102584;2024;3124,83;WAHR
Bill & Melinda Gates Foundation;10.1016/j.foodpol.2023.102585;2024;3542,1;WAHR
Bill & Melinda Gates Foundation;10.1016/j.virusres.2023.199276;2024;2421,9;WAHR
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00513-2;2024;5282,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.eclinm.2023.102328;2024;4636,25;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.onehlt.2023.100672;2024;2355,22;FALSCH
Bill & Melinda Gates Foundation;10.1039/d3ew00454f;2023;3194,87;WAHR
Bill & Melinda Gates Foundation;10.1016/j.nicl.2024.103572;2024;3110,44;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2666-5247(23)00260-4;2024;5757,73;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2666-5247(23)00220-3;2024;5757,73;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2666-5247(23)00290-2;2024;5563,5;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2666-5247(23)00262-8;2024;5841,68;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.chemosphere.2023.140705;2023;3353,33;WAHR
Bill & Melinda Gates Foundation;10.1016/j.comppsych.2023.152436;2023;2424,43;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.jpsychires.2023.11.043;2024;2897,14;WAHR
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00495-3;2024;5282,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00499-0;2024;5282,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00488-6;2024;5282,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/s2214-109x(23)00492-8;2024;5282,49;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.ebiom.2023.104921;2024;4569,63;FALSCH
Bill & Melinda Gates Foundation;10.1136/bmjgh-2023-013124;2023;3966,5;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.vaccine.2024.01.030;2024;3201,92;WAHR
Bill & Melinda Gates Foundation;10.1016/j.snb.2023.134788;2023;4180,05;WAHR
Bill & Melinda Gates Foundation;10.1016/j.ecoenv.2023.115803;2024;2604,69;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.eclinm.2023.102374;2024;4569,63;FALSCH
Bill & Melinda Gates Foundation;10.1016/j.diagmicrobio.2023.116106;2023;2887,5;WAHR
Bill & Melinda Gates Foundation;10.1136/rmdopen-2023-003533;2024;2641,24;FALSCH
Bill & Melinda Gates Foundation;10.1093/ofid/ofad701;2024;3356,9;FALSCH
Bill & Melinda Gates Foundation;10.4269/ajtmh.23-0203;2023;2755,65;WAHR
Bill & Melinda Gates Foundation;10.2196/52468;2023;1462,93;FALSCH
Bill & Melinda Gates Foundation;10.3390/pathogens13010015;2024;2545,04;FALSCH
Bill & Melinda Gates Foundation;10.3390/children11010013;2024;2262,26;FALSCH
Bill & Melinda Gates Foundation;10.1128/mbio.03088-23;2023;3622,71;FALSCH
Bill & Melinda Gates Foundation;10.1186/s12859-023-05624-2;2024;2545,04;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2023.1292486;2024;3010,26;FALSCH
Bill & Melinda Gates Foundation;10.1371/journal.pone.0294110;2024;1768,27;FALSCH
Bill & Melinda Gates Foundation;10.3390/vaccines12010006;2024;2545,04;FALSCH
Bill & Melinda Gates Foundation;10.1111/pbi.14266;2023;3474,09;FALSCH
Bill & Melinda Gates Foundation;10.3389/fendo.2023.1216160;2023;3000,35;FALSCH
Bill & Melinda Gates Foundation;10.3389/fimmu.2023.1309997;2023;3065,37;FALSCH
Bill & Melinda Gates Foundation;10.3390/cells13010002;2024;2545,04;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpubh.2023.1242314;2023;3000,35;FALSCH
Bill & Melinda Gates Foundation;10.3389/fpubh.2023.1226145;2023;3000,35;FALSCH
Bill & Melinda Gates Foundation;10.1038/s44168-023-00086-x;2024;1003,42;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14710.2;2023;809,23;FALSCH
Bill & Melinda Gates Foundation;10.12688/gatesopenres.14287.2;2023;792,2;FALSCH
Bill & Melinda Gates Foundation;10.1001/jamanetworkopen.2023.46840;2023;2794,35;FALSCH
Bill & Melinda Gates Foundation;10.3390/su152416873;2024;1897,38;FALSCH
Bill & Melinda Gates Foundation;10.3389/fsoc.2023.1233102;2023;1170,41;FALSCH
Bill & Melinda Gates Foundation;10.2196/50647;2024;1761,78;FALSCH
Bill & Melinda Gates Foundation;10.3390/vaccines11121853;2024;2545,04;FALSCH
