"Publisher","Journal title","Currency","APC","Date Payment Completed","institution","period","euro","doi","is_hybrid"
"American Chemical Society","ACS Infectious Diseases","USD","3000","2019-04-08T04:31:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acsinfecdis.9b00048",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-10-09T02:04:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acsinfecdis.8b00160",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2019-01-03T09:49:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acsinfecdis.8b00256",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2019-01-03T09:50:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acsinfecdis.7b00197",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2019-01-03T09:52:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acsinfecdis.8b00241",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acsinfecdis.7b00112",""
"","","","","","","","","",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-04-20T12:44:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acsinfecdis.7b00217",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-04-20T12:47:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acsinfecdis.7b00111",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-04-20T12:49:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acsinfecdis.7b00276",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-04-20T12:49:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acsinfecdis.7b00231",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-04-20T12:50:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acsinfecdis.7b00275",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2018-10-09T02:04:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acsinfecdis.8b00163",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2017-12-08T14:26:01.137+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acsinfecdis.7b00028",""
"American Chemical Society","ACS Infectious Diseases","USD","3000","2017-12-08T14:27:09.163+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acsinfecdis.7b00042",""
"American Chemical Society","ACS Infectious Diseases","USD","2500","2016-11-23T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2016","2358.05","10.1021/acsinfecdis.6b00075",""
"American Chemical Society","ACS Medicinal Chemistry Letters","USD","3000","2017-05-18T21:16:24.270+02:00","Bill & Melinda Gates Foundation","2017","2695.66","10.1021/acsmedchemlett.7b00030",""
"American Chemical Society","ACS Medicinal Chemistry Letters","USD","3000","2017-05-18T21:15:06.460+02:00","Bill & Melinda Gates Foundation","2017","2695.66","10.1021/acsmedchemlett.7b00013",""
"American Chemical Society","ACS Medicinal Chemistry Letters","USD","3000","2017-12-08T14:27:39.063+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acsmedchemlett.7b00196",""
"American Chemical Society","ACS Medicinal Chemistry Letters","USD","3000","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acsmedchemlett.7b00356",""
"American Chemical Society","ACS Medicinal Chemistry Letters","USD","3000","2019-01-03T09:48:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acsmedchemlett.8b00389",""
"American Chemical Society","ACS Nano","USD","3000","2018-10-09T02:04:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acsnano.8b05384",""
"American Chemical Society","ACS Omega","USD","750","2018-10-09T02:54:00.000+02:00","Bill & Melinda Gates Foundation","2018","655.88","10.1021/acsomega.8b01673",""
"American Chemical Society","ACS Omega","USD","750","2019-01-03T09:51:00.000+01:00","Bill & Melinda Gates Foundation","2019","660.91","10.1021/acsomega.8b02451",""
"American Chemical Society","ACS Omega","USD","750","2019-01-03T09:50:00.000+01:00","Bill & Melinda Gates Foundation","2019","660.91","10.1021/acsomega.8b02631",""
"American Chemical Society","ACS Omega","USD","750","2019-04-08T04:28:00.000+02:00","Bill & Melinda Gates Foundation","2019","666.9","10.1021/acsomega.8b03277",""
"American Chemical Society","ACS Sensors","USD","3000","2019-04-08T04:29:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acssensors.8b01419",""
"American Chemical Society","ACS Sensors","USD","1000","2019-01-03T09:49:00.000+01:00","Bill & Melinda Gates Foundation","2019","881.21","10.1021/acssensors.8b00945",""
"American Chemical Society","ACS Sustainable Chemistry and Engineering","USD","3000","2018-04-20T12:48:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acssuschemeng.7b03155",""
"American Chemical Society","ACS Synthetic Biology","USD","3000","2018-04-20T12:46:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acssynbio.7b00410",""
"American Chemical Society","ACS Synthetic Biology","USD","3000","2018-01-04T15:22:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acssynbio.7b00292",""
"American Chemical Society","ACS Synthetic Biology","USD","3000","2017-05-18T21:15:49.867+02:00","Bill & Melinda Gates Foundation","2017","2695.66","10.1021/acssynbio.6b00371",""
"American Chemical Society","ACS Synthetic Biology","USD","3000","2019-04-08T04:28:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acssynbio.8b00526",""
"American Chemical Society","Analytical Chemistry","USD","3000","2017-12-08T14:26:15.627+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acs.analchem.7b01282",""
"American Chemical Society","Analytical Chemistry","USD","3000","2018-07-16T01:51:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.analchem.8b00985",""
"American Chemical Society","Analytical Chemistry","USD","3000","2018-07-16T01:50:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.analchem.8b00269",""
"American Chemical Society","Chemical Reviews","USD","3000","2019-01-03T09:46:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acs.chemrev.8b00136",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2019-01-03T09:47:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acs.est.8b03916",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2018-10-09T02:07:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acs.est.8b05153",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2018-10-09T02:07:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acs.est.8b02988",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2018-07-16T01:53:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.est.8b00241",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2018-07-16T01:55:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.est.8b00928",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2017-12-08T14:25:27.627+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acs.est.7b01710",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2017-12-08T14:27:24.767+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acs.est.7b02811",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2017-08-25T00:13:58.887+02:00","Bill & Melinda Gates Foundation","2017","2540.65","10.1021/acs.est.7b00178",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2017-08-25T00:16:08.273+02:00","Bill & Melinda Gates Foundation","2017","2540.65","10.1021/acs.est.7b01002",""
"American Chemical Society","Environmental Science and Technology","USD","3000","2017-08-25T00:09:59.903+02:00","Bill & Melinda Gates Foundation","2017","2540.65","10.1021/acs.est.6b06442",""
"American Chemical Society","Environmental Science and Technology","USD","5000","2017-07-27T06:14:22.147+02:00","Bill & Melinda Gates Foundation","2017","4275.7","10.1021/acs.est.7b00392",""
"American Chemical Society","Industrial and Engineering Chemistry Research","USD","5000","2017-05-11T16:27:11.067+02:00","Bill & Melinda Gates Foundation","2017","4604.05","10.1021/acs.iecr.6b03084",""
"American Chemical Society","Journal of Agricultural and Food Chemistry","USD","3000","2018-01-04T15:21:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acs.jafc.7b02229",""
"American Chemical Society","Journal of Agricultural and Food Chemistry","USD","750","2018-10-09T02:03:00.000+02:00","Bill & Melinda Gates Foundation","2018","655.88","10.1021/acsomega.8b00974",""
"American Chemical Society","Journal of Agricultural and Food Chemistry","USD","3000","2019-01-03T09:51:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acs.jafc.8b04769",""
"American Chemical Society","Journal of Chemical Education","USD","3000","2018-04-20T12:46:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acs.jchemed.7b00564",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2018-04-20T12:50:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acs.jmedchem.7b01622",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2018-04-20T12:50:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acs.jmedchem.7b01581",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acs.jmedchem.7b01347",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2018-07-16T01:53:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.jmedchem.8b00329",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2018-07-16T01:49:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.jmedchem.7b00034",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2017-12-08T14:24:31.503+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acs.jmedchem.7b00671",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2019-01-03T09:48:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acs.jmedchem.8b01161",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2019-01-03T09:47:00.000+01:00","Bill & Melinda Gates Foundation","2019","2643.64","10.1021/acs.jmedchem.8b00883",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2018-10-09T02:05:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acs.jmedchem.8b00172",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2019-04-08T04:26:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acs.jmedchem.9b00020",""
"American Chemical Society","Journal of Medicinal Chemistry","USD","3000","2019-04-08T04:27:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acs.jmedchem.8b01854",""
"American Chemical Society","Journal of Organic Chemistry","USD","3000","2019-04-08T04:31:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acs.joc.8b03218",""
"American Chemical Society","Journal of Organic Chemistry","USD","3000","2018-07-16T01:54:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.joc.8b00410",""
"American Chemical Society","Journal of Proteome Research","USD","3000","2018-07-16T01:51:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.jproteome.7b00709",""
"American Chemical Society","Journal of Proteome Research","USD","3000","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acs.jproteome.7b00675",""
"American Chemical Society","Journal of the American Chemical Society","USD","3000","2017-12-08T14:25:46.137+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/jacs.7b06994",""
"American Chemical Society","Journal of the American Chemical Society","USD","3000","2017-12-08T14:26:53.170+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/jacs.7b03875",""
"American Chemical Society","Journal of the American Chemical Society","USD","3000","2017-08-25T00:17:07.167+02:00","Bill & Melinda Gates Foundation","2017","2540.65","10.1021/jacs.7b03974",""
"American Chemical Society","Journal of the American Chemical Society","USD","3000","2018-10-09T02:02:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/jacs.8b05332",""
"American Chemical Society","Langmuir","USD","3000","2019-04-08T04:30:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acs.langmuir.8b03726",""
"American Chemical Society","Molecular Pharmaceutics","USD","3000","2019-04-08T04:30:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acs.molpharmaceut.8b01237",""
"American Chemical Society","Molecular Pharmaceutics","USD","3000","2019-04-08T04:29:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acs.molpharmaceut.8b01333",""
"American Chemical Society","Molecular Pharmaceutics","USD","3000","2017-12-08T14:26:36.247+01:00","Bill & Melinda Gates Foundation","2017","2554.93","10.1021/acs.molpharmaceut.7b00521",""
"American Chemical Society","Molecular Pharmaceutics","USD","3000","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acs.molpharmaceut.7b00532",""
"American Chemical Society","Molecular Pharmaceutics","USD","3000","2018-04-20T12:45:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acs.molpharmaceut.8b00173",""
"American Chemical Society","Molecular Pharmaceutics","USD","3000","2018-07-16T01:55:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.molpharmaceut.8b00541",""
"American Chemical Society","Nano Letters","USD","3000","2018-07-16T01:53:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acs.nanolett.8b00572",""
"American Chemical Society","Organic Letters","USD","3000","2018-04-20T12:49:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acs.orglett.8b00070",""
"American Chemical Society","Organic Letters","USD","3000","2019-04-08T04:31:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acs.orglett.9b00497",""
"American Chemical Society","Organic Process Research and Development","USD","3000","2017-08-25T00:19:21.473+02:00","Bill & Melinda Gates Foundation","2017","2540.65","10.1021/acs.oprd.7b00153",""
"American Chemical Society","Organic Process Research and Development","USD","3000","2017-01-24T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2017","2791.22","10.1021/acs.oprd.6b00377",""
"American Chemical Society","Organometallics","USD","3000","2018-10-09T02:06:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acs.organomet.8b00351",""
"American Institute of Physics","Journal of Applied Physics","USD","2200","2018-05-29T10:00:00.000+02:00","Bill & Melinda Gates Foundation","2018","1903.44","10.1063/1.5028197",""
"American Medical Association","JAMA Cardiology","USD","5000","2018-04-03T03:56:00.000+02:00","Bill & Melinda Gates Foundation","2018","4062.4","10.1001/jamacardio.2018.0385",""
"American Medical Association","JAMA Dermatology","USD","5000","2017-07-03T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2017","4397.92","10.1001/jamadermatol.2016.5538",""
"American Medical Association","JAMA Network Open","USD","3000","2018-10-22T15:30:00.000+02:00","Bill & Melinda Gates Foundation","2018","2610.06","10.1001/jamanetworkopen.2018.5152",""
"American Medical Association","JAMA Network Open","USD","3000","2018-12-11T10:57:00.000+01:00","Bill & Melinda Gates Foundation","2018","2636.44","10.1001/jamanetworkopen.2018.7041",""
"American Medical Association","JAMA Network Open","USD","3000","2019-02-13T03:05:00.000+01:00","Bill & Melinda Gates Foundation","2019","2653.69","10.1001/jamanetworkopen.2018.7235",""
"American Medical Association","JAMA Oncology","USD","5000","2017-08-26T22:36:53.533+02:00","Bill & Melinda Gates Foundation","2017","4192.87","10.1001/jamaoncol.2017.3055",""
"American Medical Association","JAMA Oncology","USD","5000","2018-05-18T01:44:00.000+02:00","Bill & Melinda Gates Foundation","2018","4244.12","10.1001/jamaoncol.2018.2706",""
"American Medical Association","JAMA Oncology","USD","5000","2018-05-18T01:49:00.000+02:00","Bill & Melinda Gates Foundation","2018","4244.12","10.1001/jamaoncol.2018.2128",""
"American Medical Association","JAMA Pediatrics","USD","5000","2018-06-15T12:04:00.000+02:00","Bill & Melinda Gates Foundation","2018","4311.83","10.1001/jamapediatrics.2018.1960",""
"American Medical Association","JAMA Pediatrics","USD","5000","2017-12-01T15:32:58.680+01:00","Bill & Melinda Gates Foundation","2017","4206.98","10.1001/jamapediatrics.2017.4673",""
"American Medical Association","JAMA Pediatrics","USD","5000","2017-07-10T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2017","4390.97","10.1001/jamapediatrics.2017.0250",""
"American Medical Association","JAMA Pediatrics","USD","5000","2019-02-22T02:30:00.000+01:00","Bill & Melinda Gates Foundation","2019","4415.01","10.1001/jamapediatrics.2019.0337",""
"American Medical Association","JAMA Pediatrics","USD","5000","2018-10-09T01:32:00.000+02:00","Bill & Melinda Gates Foundation","2018","4372.54","10.1001/jamapediatrics.2018.3407",""
"American Medical Association","JAMA Pediatrics","USD","5000","2018-10-25T10:52:00.000+02:00","Bill & Melinda Gates Foundation","2018","4379.82","10.1001/jamapediatrics.2018.4038",""
"","","","","","","","","",""
"American Phytopathological Society","Phytopathology","USD","200","2019-04-25T03:59:00.000+02:00","Bill & Melinda Gates Foundation","2019","179.81","10.1094/PHYTO-07-18-0234-R",""
"American Phytopathological Society","Phytopathology","USD","1900","2019-01-23T01:35:00.000+01:00","Bill & Melinda Gates Foundation","2019","1671.51","10.1094/PHYTO-07-18-0234-R",""
"American Phytopathological Society","Phytopathology","USD","1900","2017-08-26T22:41:54.317+02:00","Bill & Melinda Gates Foundation","2017","1593.29","10.1094/PHYTO-03-17-0105-FI",""
"American Phytopathological Society","Phytopathology","USD","2900","2018-05-03T14:01:32.020+02:00","Bill & Melinda Gates Foundation","2018","2418.28","10.1094/PHYTO-12-16-0444-R",""
"","","","","","","","","",""
"American Phytopathological Society","Plant Disease","USD","1900","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","1574.8","10.1094/PDIS-02-17-0282-RE",""
"American Phytopathological Society","Plant Disease","USD","2900","2018-06-06T01:31:00.000+02:00","Bill & Melinda Gates Foundation","2018","2464.94","10.1094/PDIS-01-18-0198-RE",""
"American Phytopathological Society","Plant Disease","USD","2900","2019-03-05T04:59:00.000+01:00","Bill & Melinda Gates Foundation","2019","2559.8","10.1094/PDIS-03-18-0489-RE",""
"American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","USD","1500","2019-03-05T03:11:00.000+01:00","Bill & Melinda Gates Foundation","2019","1324.04","10.1074/jbc.RA118.005396",""
"American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","USD","1500","2018-06-06T03:28:00.000+02:00","Bill & Melinda Gates Foundation","2018","1274.97","10.1074/jbc.RA118.002994",""
"American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","USD","1500","2018-01-10T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","1250.83","10.1074/jbc.RA117.000709",""
"American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","USD","2000","2017-09-12T00:16:36.420+02:00","Bill & Melinda Gates Foundation","2017","1676.02","10.1074/jbc.M117.803056",""
"American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","USD","2000","2017-11-23T13:43:54.893+01:00","Bill & Melinda Gates Foundation","2017","1688.05","10.1074/jbc.M117.808352",""
"American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","USD","2000","2017-05-06T01:19:31.400+02:00","Bill & Melinda Gates Foundation","2017","1828.49","10.1074/jbc.M117.776419",""
"American Society for Biochemistry and Molecular Biology","Journal of Lipid Research","USD","2000","2019-01-03T10:14:00.000+01:00","Bill & Melinda Gates Foundation","2019","1762.43","10.1194/jlr.P088542",""
"American Society for Clinical Investigation","JCI Insight","USD","3500","2018-01-10T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2918.61","10.1172/jci.insight.94355",""
"American Society for Clinical Investigation","JCI Insight","USD","3500","2018-05-18T01:54:00.000+02:00","Bill & Melinda Gates Foundation","2018","2970.89","10.1172/jci.insight.120692",""
"American Society for Clinical Investigation","Journal of Clinical Investigation","USD","4500","2018-03-12T01:37:00.000+01:00","Bill & Melinda Gates Foundation","2018","3657.94","10.1172/JCI98012",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","3150","2018-02-26T10:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2556.82","10.1128/AAC.01505-17",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","2300","2018-04-20T12:37:00.000+02:00","Bill & Melinda Gates Foundation","2018","1868.55","10.1128/AAC.01370-17",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","2300","2018-08-21T01:52:00.000+02:00","Bill & Melinda Gates Foundation","2018","1999.65","10.1128/AAC.02193-17",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","2250","2017-06-20T01:01:17.863+02:00","Bill & Melinda Gates Foundation","2017","2016.85","10.1128/AAC.02399-16",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","3300","2017-06-07T16:02:30.667+02:00","Bill & Melinda Gates Foundation","2017","2941.96","10.1128/AAC.00498-16",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","3049.25","2017-09-04T21:20:34.243+02:00","Bill & Melinda Gates Foundation","2017","2561.32","10.1128/AAC.01296-17",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","3300","2018-12-04T12:52:00.000+01:00","Bill & Melinda Gates Foundation","2018","2892.45","10.1128/AAC.01911-18",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","3150","2018-11-20T01:13:00.000+01:00","Bill & Melinda Gates Foundation","2018","2758.08","10.1128/AAC.00718-18",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","3150","2018-10-10T02:20:00.000+02:00","Bill & Melinda Gates Foundation","2018","2739.13","10.1128/AAC.00761-18",""
"American Society for Microbiology","Antimicrobial Agents and Chemotherapy","USD","3300","2019-02-22T02:43:00.000+01:00","Bill & Melinda Gates Foundation","2019","2913.91","10.1128/AAC.01837-18",""
