institution;period;euro;doi;is_hybrid;journal_full_title
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10304-016-0112-0;TRUE;Gynäkologische Endokrinologie
Vienna University of Economics and Business (WU);2017;NA;10.1007/s11301-016-0121-z;TRUE;Management Review Quarterly
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10304-016-0111-1;TRUE;Gynäkologische Endokrinologie
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00264-017-3404-7;TRUE;International Orthopaedics
Medical University of Graz;2017;NA;10.1007/s12553-016-0175-x;TRUE;Health and Technology
Austrian Science Fund (FWF);2017;NA;10.1007/s00190-016-0992-8;TRUE;Journal of Geodesy
University of Graz;2017;NA;10.1007/s35834-017-0178-3;TRUE;Zeitschrift für Bildungsforschung
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00259-016-3609-9;TRUE;European Journal of Nuclear Medicine and Molecular Imaging
University of Graz;2017;NA;10.1007/s11609-016-0316-0;TRUE;Berliner Journal für Soziologie
Carinthia University of Applied Sciences (CUAS);2017;NA;10.1007/s00391-017-1188-4;TRUE;Zeitschrift für Gerontologie und Geriatrie
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10304-016-0116-9;TRUE;Gynäkologische Endokrinologie
University of Klagenfurt;2017;NA;10.1007/s11042-016-4219-z;TRUE;Multimedia Tools and Applications
Medical University of Graz;2017;NA;10.1245/s10434-017-5776-8;TRUE;Annals of Surgical Oncology
Medical University of Vienna;2017;NA;10.1007/s00508-017-1167-1;TRUE;Wiener klinische Wochenschrift
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00132-016-3376-0;TRUE;Der Orthopäde
Medical University of Graz;2017;NA;10.1007/s40719-017-0076-0;TRUE;Current Trauma Reports
Medical University of Vienna;2017;NA;10.1007/s00740-016-0155-9;TRUE;Wiener klinisches Magazin
Montanuniversität Leoben;2017;NA;10.1007/s11600-017-0010-4;TRUE;Acta Geophysica
Medical University of Vienna;2017;NA;10.1007/s12326-016-0221-5;TRUE;hautnah
Medical University of Vienna;2017;NA;10.1007/s00117-016-0195-6;TRUE;Der Radiologe
Austrian Science Fund (FWF);2017;NA;10.1007/s12549-016-0262-z;TRUE;Palaeobiodiversity and Palaeoenvironments
Medical University of Graz;2017;NA;10.1007/s00508-016-1165-8;TRUE;Wiener klinische Wochenschrift
Vienna University of Economics and Business (WU);2017;NA;10.1007/s12599-016-0460-2;TRUE;Business & Information Systems Engineering
Medical University of Vienna;2017;NA;10.1007/s00508-016-1161-z;TRUE;Wiener klinische Wochenschrift
Austrian Science Fund (FWF);2017;NA;10.1007/s00442-016-3805-0;TRUE;Oecologia
University of Graz;2017;NA;10.1007/s00501-016-0571-6;TRUE;BHM Berg- und Hüttenmännische Monatshefte
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s10596-016-9609-9;TRUE;Computational Geosciences
Medical University of Vienna;2017;NA;10.1007/s00784-016-2041-7;TRUE;Clinical Oral Investigations
Austrian Science Fund (FWF);2017;NA;10.1007/s00033-017-0772-1;TRUE;Zeitschrift für angewandte Mathematik und Physik
Vienna University of Economics and Business (WU);2017;NA;10.1007/s41464-017-0027-x;TRUE;Schmalenbach Business Review
Paracelsus Medical University;2017;NA;10.1007/s11620-017-0385-x;TRUE;Zeitschrift für Psychodrama und Soziometrie
Paracelsus Medical University;2017;NA;10.1007/s40265-016-0672-2;TRUE;Drugs
Medical University of Graz;2017;NA;10.1007/s00056-016-0076-7;TRUE;Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie
Austrian Science Fund (FWF);2017;NA;10.1007/s13735-017-0118-y;TRUE;International Journal of Multimedia Information Retrieval
Medical University of Vienna;2017;NA;10.1007/s00508-017-1169-z;TRUE;Wiener klinische Wochenschrift
Paris Lodron University of Salzburg;2017;NA;10.1007/s10484-017-9351-7;TRUE;Applied Psychophysiology and Biofeedback
Austrian Science Fund (FWF);2017;NA;10.1007/s00190-017-1000-7;TRUE;Journal of Geodesy
Paracelsus Medical University;2017;NA;10.1007/s00101-017-0270-z;TRUE;Der Anaesthesist
Johannes Kepler University Linz;2017;NA;10.1007/s10577-017-9552-1;TRUE;Chromosome Research
Austrian Science Fund (FWF);2017;NA;10.1007/s10288-017-0341-7;TRUE;4OR
Medical University of Vienna;2017;NA;10.1007/s12350-017-0778-2;TRUE;Journal of Nuclear Cardiology
Austrian Science Fund (FWF);2017;NA;10.1007/s00453-017-0290-8;TRUE;Algorithmica
Paracelsus Medical University;2017;NA;10.1007/s00402-017-2649-3;TRUE;Archives of Orthopaedic and Trauma Surgery
Austrian Science Fund (FWF);2017;NA;10.1007/s00253-017-8161-4;TRUE;Applied Microbiology and Biotechnology
Johannes Kepler University Linz;2017;NA;10.1007/s00216-017-0238-5;TRUE;Analytical and Bioanalytical Chemistry
Paracelsus Medical University;2017;NA;10.1007/s12254-017-0318-4;TRUE;memo - Magazine of European Medical Oncology
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s40858-017-0127-7;TRUE;Tropical Plant Pathology
Medical University of Graz;2017;NA;10.1007/s10405-017-0097-y;TRUE;Der Pneumologe
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s11825-017-0129-3;TRUE;medizinische genetik
University of Veterinary Medicine Vienna;2017;NA;10.3758/s13420-017-0261-6;TRUE;Learning & Behavior
Austrian Science Fund (FWF);2017;NA;10.1007/s10589-017-9894-9;TRUE;Computational Optimization and Applications
Austrian Science Fund (FWF);2017;NA;10.1007/s11104-017-3184-2;TRUE;Plant and Soil
Montanuniversität Leoben;2017;NA;10.1007/s00501-017-0582-y;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Medical University of Vienna;2017;NA;10.1007/s00063-017-0261-5;TRUE;Medizinische Klinik - Intensivmedizin und Notfallmedizin
Graz University of Technology;2017;NA;10.1007/s40194-017-0422-4;TRUE;Welding in the World
Medical University of Vienna;2017;NA;10.1007/s11999-017-5266-0;TRUE;Clinical Orthopaedics and Related Research®
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s10750-017-3116-4;TRUE;Hydrobiologia
TU Wien (TUW);2017;NA;10.1007/s11837-017-2287-9;TRUE;JOM
Medical University of Vienna;2017;NA;10.1007/s00127-017-1344-6;TRUE;Social Psychiatry and Psychiatric Epidemiology
Austrian Science Fund (FWF);2017;NA;10.1007/s10683-017-9511-x;TRUE;Experimental Economics
Paracelsus Medical University;2017;NA;10.1007/s10545-017-0015-9;TRUE;Journal of Inherited Metabolic Disease
Austrian Science Fund (FWF);2017;NA;10.1007/s12549-016-0266-8;TRUE;Palaeobiodiversity and Palaeoenvironments
Austrian Science Fund (FWF);2017;NA;10.1007/s12542-017-0337-9;TRUE;PalZ
Vienna University of Economics and Business (WU);2017;NA;10.1007/s41701-017-0004-0;TRUE;Corpus Pragmatics
University of Klagenfurt;2017;NA;10.1007/s11042-016-4337-7;TRUE;Multimedia Tools and Applications
Medical University of Vienna;2017;NA;10.1007/s10238-017-0454-5;TRUE;Clinical and Experimental Medicine
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00402-017-2653-7;TRUE;Archives of Orthopaedic and Trauma Surgery
Austrian Science Fund (FWF);2017;NA;10.1007/s00704-017-2053-5;TRUE;Theoretical and Applied Climatology
Medical University of Vienna;2017;NA;10.1007/s00508-017-1171-5;TRUE;Wiener klinische Wochenschrift
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s11103-017-0589-5;TRUE;Plant Molecular Biology
University of Vienna;2017;NA;10.1007/s10570-017-1220-2;TRUE;Cellulose
Medical University of Graz;2017;NA;10.1007/s00056-016-0075-8;TRUE;Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie
Medical University of Vienna;2017;NA;10.1007/s12254-017-0314-8;TRUE;memo - Magazine of European Medical Oncology
University of Veterinary Medicine Vienna;2017;NA;10.1007/s00436-017-5405-2;TRUE;Parasitology Research
University of Vienna;2017;NA;10.1007/s41061-017-0110-2;TRUE;Topics in Current Chemistry
Medical University of Vienna;2017;NA;10.1007/s00508-017-1181-3;TRUE;Wiener klinische Wochenschrift
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00200-017-0314-2;TRUE;Applicable Algebra in Engineering, Communication and Computing
University of Vienna;2017;NA;10.1007/s11166-016-9247-6;TRUE;Journal of Risk and Uncertainty
Austrian Science Fund (FWF);2017;NA;10.1007/s12549-016-0268-6;TRUE;Palaeobiodiversity and Palaeoenvironments
University of Vienna;2017;NA;10.1007/s00041-017-9526-x;TRUE;Journal of Fourier Analysis and Applications
Medical University of Graz;2017;NA;10.1007/s10049-017-0276-8;TRUE;Notfall +  Rettungsmedizin
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00226-017-0892-y;TRUE;Wood Science and Technology
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s11307-017-1046-1;TRUE;Molecular Imaging and Biology
Medical University of Vienna;2017;NA;10.1007/s00739-017-0381-y;TRUE;psychopraxis. neuropraxis
FH Salzburg - University of Applied Sciences;2017;NA;10.1007/s13595-016-0606-x;TRUE;Annals of Forest Science
Medical University of Vienna;2017;NA;10.1007/s10354-017-0548-4;TRUE;Wiener Medizinische Wochenschrift
Austrian Science Fund (FWF);2017;NA;10.1007/s00601-017-1234-1;TRUE;Few-Body Systems
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s11846-017-0231-6;TRUE;Review of Managerial Science
University of Graz;2017;NA;10.1007/s12689-016-0074-7;TRUE;China-EU Law Journal
Austrian Science Fund (FWF);2017;NA;10.1007/s11682-017-9675-1;TRUE;Brain Imaging and Behavior
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s10853-017-0831-1;TRUE;Journal of Materials Science
Graz University of Technology;2017;NA;10.1007/s00022-017-0373-3;TRUE;Journal of Geometry
University of Klagenfurt;2017;NA;10.1007/s11294-016-9628-2;TRUE;International Advances in Economic Research
Medical University of Vienna;2017;NA;10.1007/s12254-017-0313-9;TRUE;memo - Magazine of European Medical Oncology
Medical University of Graz;2017;NA;10.1007/s00292-017-0270-4;TRUE;Der Pathologe
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10143-017-0829-9;TRUE;Neurosurgical Review
University of Graz;2017;NA;10.1007/s10484-017-9353-5;TRUE;Applied Psychophysiology and Biofeedback
Austrian Science Fund (FWF);2017;NA;10.1007/s00018-017-2478-0;TRUE;Cellular and Molecular Life Sciences
Medical University of Vienna;2017;NA;10.1007/s10096-017-2916-9;TRUE;European Journal of Clinical Microbiology & Infectious Diseases
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00425-017-2662-3;TRUE;Planta
Johannes Kepler University Linz;2017;NA;10.1007/s11614-017-0257-7;TRUE;Österreichische Zeitschrift für Soziologie
Austrian Science Fund (FWF);2017;NA;10.1007/s13595-016-0614-x;TRUE;Annals of Forest Science
Medical University of Vienna;2017;NA;10.1007/s10354-016-0540-4;TRUE;Wiener Medizinische Wochenschrift
University of Vienna;2017;NA;10.1007/s11135-017-0481-z;TRUE;Quality & Quantity
Medical University of Vienna;2017;NA;10.1007/s00739-017-0376-8;TRUE;psychopraxis. neuropraxis
Medical University of Vienna;2017;NA;10.1007/s10353-017-0467-z;TRUE;European Surgery
Medical University of Vienna;2017;NA;10.1007/s00117-017-0222-2;TRUE;Der Radiologe
TU Wien (TUW);2017;NA;10.1007/s00502-017-0483-5;TRUE;e & i Elektrotechnik und Informationstechnik
University of Graz;2017;NA;10.1007/s00601-017-1243-0;TRUE;Few-Body Systems
University of Vienna;2017;NA;10.1007/s12665-017-6460-9;TRUE;Environmental Earth Sciences
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s11270-017-3250-7;TRUE;Water, Air, & Soil Pollution
Medical University of Vienna;2017;NA;10.1007/s00508-017-1175-1;TRUE;Wiener klinische Wochenschrift
Medical University of Graz;2017;NA;10.1007/s00384-017-2778-8;TRUE;International Journal of Colorectal Disease
Medical University of Vienna;2017;NA;10.1007/s00404-017-4290-3;TRUE;Archives of Gynecology and Obstetrics
Paris Lodron University of Salzburg;2017;NA;10.1007/s13138-017-0114-z;TRUE;Journal für Mathematik-Didaktik
TU Wien (TUW);2017;NA;10.1007/s10109-017-0245-2;TRUE;Journal of Geographical Systems
TU Wien (TUW);2017;NA;10.1007/s00020-017-2352-3;TRUE;Integral Equations and Operator Theory
Austrian Science Fund (FWF);2017;NA;10.1007/s00039-017-0405-z;TRUE;Geometric and Functional Analysis
University of Vienna;2017;NA;10.1007/s00040-017-0554-y;TRUE;Insectes Sociaux
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00048-017-0165-8;TRUE;NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin
Medical University of Graz;2017;NA;10.1007/s00056-017-0083-3;TRUE;Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie
Medical University of Vienna;2017;NA;10.1007/s00066-017-1119-8;TRUE;Strahlentherapie und Onkologie
Medical University of Vienna;2017;NA;10.1007/s00101-017-0295-3;TRUE;Der Anaesthesist
Medical University of Graz;2017;NA;10.1007/s00106-017-0334-z;TRUE;HNO
Paracelsus Medical University;2017;NA;10.1007/s00112-017-0250-z;TRUE;Monatsschrift Kinderheilkunde
Medical University of Vienna;2017;NA;10.1007/s00117-017-0228-9;TRUE;Der Radiologe
Medical University of Vienna;2017;NA;10.1007/s00117-017-0235-x;TRUE;Der Radiologe
Medical University of Vienna;2017;NA;10.1007/s00117-017-0236-9;TRUE;Der Radiologe
Medical University of Vienna;2017;NA;10.1007/s00117-017-0239-6;TRUE;Der Radiologe
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00125-017-4248-9;TRUE;Diabetologia
University of Vienna;2017;NA;10.1007/s00146-017-0714-7;TRUE;AI & SOCIETY
University of Vienna;2017;NA;10.1007/s00205-017-1108-1;TRUE;Archive for Rational Mechanics and Analysis
University of Vienna;2017;NA;10.1007/s00209-017-1873-4;TRUE;Mathematische Zeitschrift
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00216-017-0235-8;TRUE;Analytical and Bioanalytical Chemistry
FH Salzburg - University of Applied Sciences;2017;NA;10.1007/s00226-017-0897-6;TRUE;Wood Science and Technology
TU Wien (TUW);2017;NA;10.1007/s00231-017-2006-7;TRUE;Heat and Mass Transfer
Paracelsus Medical University;2017;NA;10.1007/s00264-017-3444-z;TRUE;International Orthopaedics
Medical University of Graz;2017;NA;10.1007/s00292-017-0280-2;TRUE;Der Pathologe
Medical University of Vienna;2017;NA;10.1007/s00330-017-4755-6;TRUE;European Radiology
Medical University of Graz;2017;NA;10.1007/s00330-017-4788-x;TRUE;European Radiology
Austrian Science Fund (FWF);2017;NA;10.1007/s00360-017-1080-y;TRUE;Journal of Comparative Physiology B
Johannes Kepler University Linz;2017;NA;10.1007/s00365-017-9371-9;TRUE;Constructive Approximation
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00402-017-2660-8;TRUE;Archives of Orthopaedic and Trauma Surgery
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00402-017-2668-0;TRUE;Archives of Orthopaedic and Trauma Surgery
Medical University of Graz;2017;NA;10.1007/s00402-017-2678-y;TRUE;Archives of Orthopaedic and Trauma Surgery
Medical University of Vienna;2017;NA;10.1007/s00404-017-4331-y;TRUE;Archives of Gynecology and Obstetrics
Medical University of Vienna;2017;NA;10.1007/s00405-017-4506-y;TRUE;European Archives of Oto-Rhino-Laryngology
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00410-017-1329-1;TRUE;Contributions to Mineralogy and Petrology
Medical University of Graz;2017;NA;10.1007/s00418-017-1557-5;TRUE;Histochemistry and Cell Biology
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00424-017-1944-8;TRUE;Pflügers Archiv - European Journal of Physiology
Institute of Science and Technology (IST Austria);2017;NA;10.1007/s00454-017-9883-x;TRUE;Discrete & Computational Geometry
Graz University of Technology;2017;NA;10.1007/s00502-017-0488-0;TRUE;e & i Elektrotechnik und Informationstechnik
TU Wien (TUW);2017;NA;10.1007/s00502-017-0494-2;TRUE;e & i Elektrotechnik und Informationstechnik
TU Wien (TUW);2017;NA;10.1007/s00502-017-0498-y;TRUE;e & i Elektrotechnik und Informationstechnik
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00506-017-0373-4;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00506-017-0375-2;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00506-017-0376-1;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00506-017-0377-0;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00506-017-0378-z;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00506-017-0385-0;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00506-017-0389-9;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00506-017-0390-3;TRUE;Österreichische Wasser- und Abfallwirtschaft
Medical University of Vienna;2017;NA;10.1007/s00508-017-1180-4;TRUE;Wiener klinische Wochenschrift
TU Wien (TUW);2017;NA;10.1007/s00591-017-0188-1;TRUE;Mathematische Semesterberichte
Austrian Science Fund (FWF);2017;NA;10.1007/s00601-017-1257-7;TRUE;Few-Body Systems
Medical University of Graz;2017;NA;10.1007/s00608-017-0456-2;TRUE;Pädiatrie & Pädologie
Graz University of Technology;2017;NA;10.1007/s00706-017-1933-9;TRUE;Monatshefte für Chemie - Chemical Monthly
Austrian Science Fund (FWF);2017;NA;10.1007/s00706-017-1949-1;TRUE;Monatshefte für Chemie - Chemical Monthly
Austrian Science Fund (FWF);2017;NA;10.1007/s00706-017-1973-1;TRUE;Monatshefte für Chemie - Chemical Monthly
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00717-017-0334-0;TRUE;Spektrum der Augenheilkunde
TU Wien (TUW);2017;NA;10.1007/s00780-016-0318-y;TRUE;Finance and Stochastics
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00894-017-3302-3;TRUE;Journal of Molecular Modeling
Johannes Kepler University Linz;2017;NA;10.1007/s10008-017-3541-3;TRUE;Journal of Solid State Electrochemistry
University of Klagenfurt;2017;NA;10.1007/s10021-017-0120-5;TRUE;Ecosystems
University of Veterinary Medicine Vienna;2017;NA;10.1007/s10071-017-1082-x;TRUE;Animal Cognition
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10113-017-1132-6;TRUE;Regional Environmental Change
University of Vienna;2017;NA;10.1007/s10126-017-9741-0;TRUE;Marine Biotechnology
Austrian Science Fund (FWF);2017;NA;10.1007/s10334-017-0615-2;TRUE;Magnetic Resonance Materials in Physics, Biology and Medicine
University of Veterinary Medicine Vienna;2017;NA;10.1007/s10493-017-0114-1;TRUE;Experimental and Applied Acarology
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10518-017-0129-3;TRUE;Bulletin of Earthquake Engineering
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s10570-017-1257-2;TRUE;Cellulose
University of Graz;2017;NA;10.1007/s10592-017-0949-3;TRUE;Conservation Genetics
University of Graz;2017;NA;10.1007/s10639-017-9592-3;TRUE;Education and Information Technologies
Medical University of Graz;2017;NA;10.1007/s10815-017-0908-4;TRUE;Journal of Assisted Reproduction and Genetics
Graz University of Technology;2017;NA;10.1007/s10832-017-0071-4;TRUE;Journal of Electroceramics
University of Graz;2017;NA;10.1007/s10886-017-0832-1;TRUE;Journal of Chemical Ecology
Austrian Science Fund (FWF);2017;NA;10.1007/s10909-017-1771-5;TRUE;Journal of Low Temperature Physics
University of Vienna;2017;NA;10.1007/s10950-017-9655-3;TRUE;Journal of Seismology
Johannes Kepler University Linz;2017;NA;10.1007/s10994-017-5631-y;TRUE;Machine Learning
University of Vienna;2017;NA;10.1007/s11005-017-0955-x;TRUE;Letters in Mathematical Physics
University of Vienna;2017;NA;10.1007/s11075-017-0297-x;TRUE;Numerical Algorithms
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s11075-017-0310-4;TRUE;Numerical Algorithms
University of Vienna;2017;NA;10.1007/s11097-017-9501-7;TRUE;Phenomenology and the Cognitive Sciences
TU Wien (TUW);2017;NA;10.1007/s11227-017-2023-9;TRUE;The Journal of Supercomputing
Austrian Science Fund (FWF);2017;NA;10.1007/s11229-017-1336-9;TRUE;Synthese
Graz University of Technology;2017;NA;10.1007/s11241-017-9271-x;TRUE;Real-Time Systems
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s11245-016-9448-2;TRUE;Topoi
Vienna University of Economics and Business (WU);2017;NA;10.1007/s11301-017-0125-3;TRUE;Management Review Quarterly
Paris Lodron University of Salzburg;2017;NA;10.1007/s11609-017-0321-y;TRUE;Berliner Journal für Soziologie
Montanuniversität Leoben;2017;NA;10.1007/s11661-017-4008-y;TRUE;Metallurgical and Materials Transactions A
Graz University of Technology;2017;NA;10.1007/s11661-017-4053-6;TRUE;Metallurgical and Materials Transactions A
University of Vienna;2017;NA;10.1007/s11669-017-0532-0;TRUE;Journal of Phase Equilibria and Diffusion
Medical University of Vienna;2017;NA;10.1007/s11812-017-0084-6;TRUE;Wiener klinische Wochenschrift Education
Johannes Kepler University Linz;2017;NA;10.1007/s11812-017-0085-5;TRUE;Wiener klinische Wochenschrift Education
Paris Lodron University of Salzburg;2017;NA;10.1007/s11829-016-9493-1;TRUE;Arthropod-Plant Interactions
Medical University of Graz;2017;NA;10.1007/s12024-017-9847-8;TRUE;Forensic Science, Medicine, and Pathology
Austrian Science Fund (FWF);2017;NA;10.1007/s12061-017-9221-y;TRUE;Applied Spatial Analysis and Policy
Austrian Science Fund (FWF);2017;NA;10.1007/s12549-016-0257-9;TRUE;Palaeobiodiversity and Palaeoenvironments
University of Vienna;2017;NA;10.1007/s12671-017-0709-y;TRUE;Mindfulness
Austrian Science Fund (FWF);2017;NA;10.1007/s13361-017-1634-y;TRUE;Journal of The American Society for Mass Spectrometry
Medical University of Vienna;2017;NA;10.1007/s40211-017-0222-5;TRUE;neuropsychiatrie
TU Wien (TUW);2017;NA;10.1007/s40558-017-0079-2;TRUE;Information Technology & Tourism
University of Vienna;2017;NA;10.1007/s40961-017-0102-1;TRUE;Journal of Indian Council of Philosophical Research
University of Vienna;2017;NA;10.1007/s41809-017-0003-5;TRUE;Journal of Cultural Cognitive Science
