"institution","doi",period,"is_hybrid",invoice amount,"invoice currency",effective payment chf,effective payment euro,share paid by snsf chf,share paid by snsf euro,"journal name",rate chf-euro,"share paid by other instiution euro","other institution is probably","snsf grant"
"SNSF","10.1038/ncomms10622",2016,"FALSE",3700.00,"EUR",4110.33,3771.00,3000.00,2752.07,"Nature Communications",1.0901,"1018.93","UZH","PP00P2_157607"
"SNSF","10.1038/ncomms10938",2016,"FALSE",3700.00,"EUR",4087.39,3750.00,3000.00,2752.07,"Nature Communications",1.0901,"997.93","UniGE","310030_149390 "
"SNSF","10.1038/ncomms11582",2016,"FALSE",3700.00,"EUR",4006.40,3675.00,3000.00,2752.07,"Nature Communications",1.0901,"922.93","crg.eu","CRSII3_141918"
"SNSF","10.1038/ncomms11866",2016,"FALSE",3700.00,"EUR",4217.41,3869.00,3000.00,2752.07,"Nature Communications",1.0901,"1116.93","UniL","31003A_140869 "
"SNSF","10.1038/ncomms13120",2016,"FALSE",3700.00,"EUR",4107.00,3768.00,3000.00,2752.07,"Nature Communications",1.0901,"1015.93","ETHZ","200021_156106"
"SNSF","10.1038/lsa.2017.66",2017,"FALSE",,,3238.80,2914.00,3000.00,2698.89,"Light: Science & Applications",1.1116,"215.11","UZH","200020_159916"
"SNSF","10.1038/s41467-017-01467-7",2017,"FALSE",3700.00,"EUR",4669.73,4201.00,3000.00,2698.89,"Nature Communications",1.1116,"1502.11","UniGE","PZ00P3_154728"
"SNSF","10.1093/gbe/evu099",2014,"FALSE",1463.00,"EUR",1797.27,1462.98,599.09,487.66,"Genome of Biol and Evol",1.2146,"975.32","UZH","PZ00P3_131726"
"SNSF","10.1038/ncomms10796",2016,"FALSE",3700.00,"EUR",4465.48,4096.43,2681.00,2459.43,"Nature Communications",1.0901,"1637.00","UniBe","PP00P2_144811"
"SNSF","10.1093/sysbio/syx051",2017,"TRUE",1300.00,"EUR",1445.04,1300.00,400.00,359.85,"Systematic Biology",1.1116,"940.15","Naturhistorisches Museum der Burgergemeinde Bern,","PZ00P3_154791"
"SNSF","10.1371/journal.pone.0186109",2017,"FALSE",1495.00,"USD",1495.00,1323.00,500.00,450.00,"Plos ONE",1.1116,"873.00","Martin-Luther-University, Halle-Wittenberg","31003A_169751"
"SNSF","10.1177/2514183X18761146",2018,"FALSE",750.00,"USD",714.65,618.74,361.65,313.12,"Clinical and Translational Neuroscience",1.1550,"305.63","Klinik St. Anna-Hirslanden, Neuro- and Spine Center, Lucerne, Switzerland","PP00P2_163678"
"SNSF","10.1016/j.celrep.2017.12.020",2018,"FALSE",4485.00,"EUR",5472.00,4737.66,3000.00,2597.40,"Cell Reports",1.1550,"2140.26","UniBS","BSSGI0_155778"
"SNSF","10.1126/sciadv.aat2720",2018,"FALSE",4324.00,"USD",4259.00,3687.45,3231.00,2797.40,"Science Advances",1.1550,"890.04","Oxford University","31003A_173097 "
"SNSF","10.1016/j.apenergy.2018.01.044",2018,"TRUE",3137.00,"EUR",3666.00,3174.03,1222.00,1058.01,"Applied Energy",1.1550,"2078.99","EPFL Energy center (1/3) and College of Humanities (1/3)","PZENP2_173635"
"SNSF","10.1038/s41467-018-06857-z",2018,"FALSE",4146.00,"EUR",4788.63,4146.00,2288.63,1981.50,"Nature Communications",1.1550,"2164.50","EPFL Library (CHF 2500)","31003A_175667"
"SNSF","10.3389/fmicb.2019.00102",2019,"FALSE",2859.44,"USD",2860.00,2532.30,1737.00,1537.97,"Frontiers in Microbiology",1.1294,"994.32","Fonds des donations de l'Université de Neuchâtel","31AC-0_186550"
