institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2021,2359.8806660499536,10.1093/ve/veab101,Long read sequencing reveals the evolutionary drivers of intra-host diversity across natural RNA mycovirus infections,2021-12-22,Virus Evolution,Oxford University Press,FALSE,NA,NA,2551.031,1.081,E14914629,NA,180651,Chronoshub
Swiss National Science Foundation (SNSF),2021,1762.5319148936171,10.1038/s41598-021-03685-y,No neutralizing effect of pre-existing tick-borne encephalitis virus antibodies against severe acute respiratory syndrome coronavirus-2: a prospective healthcare worker study,2021-12-22,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1905.297,1.081,2676290209,NA,196544,Chronoshub
Swiss National Science Foundation (SNSF),2021,999.0749306197965,10.3390/brainsci11121652,"From action to cognition: neural reuse, network theory and the emergence of higher cognitive functions",2021-12-22,Brain Sciences,MDPI,FALSE,NA,NA,1080,1.081,1475089,NA,184702,Chronoshub
Swiss National Science Foundation (SNSF),2021,1156.3367252543942,10.3390/polym14010018,"Biodegradable Hydrogel Scaffolds Based on 2-Hydroxyethyl Methacrylate, Gelatin, Poly(ß-amino esters), and Hydroxyapatite",2021-12-22,Polymers,MDPI,FALSE,NA,NA,1250,1.081,1515803,NA,152327,Chronoshub
Swiss National Science Foundation (SNSF),2021,1543.068455134135,10.5194/cp-17-2361-2021,Unlocking weather observations from the Societas Meteorologica Palatina (1781–1792),2021-12-21,Climate of the Past,Copernicus GmbH,FALSE,NA,NA,1668.057,1.081,CP-PUC-2021-160,NA,188701,Chronoshub
Swiss National Science Foundation (SNSF),2021,1642.2488436632748,10.1093/scan/nsab100,Neuro-computational foundations of moral preferences,2021-12-20,Social Cognitive and Affective Neuroscience,Oxford University Press,FALSE,NA,NA,1775.271,1.081,E14826466,NA,"141965, 143443, 152891",Chronoshub
Swiss National Science Foundation (SNSF),2021,3001.522664199815,10.1021/jacsau.1c00408,Visible-Light-Driven Water Oxidation on Self-Assembled Metal-Free Organic@Carbon Junctions at Neutral pH,2021-12-20,JACS Au,American Chemical Society (ACS),FALSE,NA,NA,3244.646,1.081,Reimbursement APC600264800,NA,175745,Chronoshub
Swiss National Science Foundation (SNSF),2021,1434.6716003700278,10.3390/ani11123535,Reverse Genetic Screen for Deleterious Recessive Variants in the Local Simmental Cattle Population of Switzerland,2021-12-20,Animals,MDPI,FALSE,NA,NA,1550.88,1.081,Reimbursement 1472473,NA,172911,Chronoshub
Swiss National Science Foundation (SNSF),2021,1190.1480111008325,10.5194/tc-15-5659-2021,"Automated detection and analysis of surface calving waves with a terrestrial radar interferometer at the front of Eqip Sermia, Greenland",2021-12-20,Cryosphere,Copernicus GmbH,FALSE,NA,NA,1286.55,1.081,TC-PUC-2021-343,NA,156098,Chronoshub
Swiss National Science Foundation (SNSF),2021,1833.1914893617022,10.3390/ijerph182413164,"Switzerland’s Narcotics Regulation Jungle: Off-Label Use, Counterfoil Prescriptions, and Opioid Agonist Therapy in the French-Speaking Cantons",2021-12-20,International Journal of Environmental Research and Public Health,MDPI,FALSE,NA,NA,1981.68,1.081,1417531,NA,182477,Chronoshub
Swiss National Science Foundation (SNSF),2021,1555.422756706753,10.1186/s12711-021-00686-3,Mining massive genomic data of two Swiss Braunvieh cattle populations reveals six novel candidate variants that impair reproductive success,2021-12-20,"Genetics, Selection, Evolution",Springer Nature,FALSE,NA,NA,1681.412,1.081,Reimbursement 6106529266,NA,172911,Chronoshub
Swiss National Science Foundation (SNSF),2021,1594.0795559666976,10.3390/ijms222413641,In Situ Cell Signalling of the Hippo-YAP\/TAZ Pathway in Reaction to  Complex Dynamic Loading in an Intervertebral Disc Organ Culture,2021-12-20,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1723.2,1.081,Reimbursement 1489605,NA,192674,Chronoshub
Swiss National Science Foundation (SNSF),2021,2167.4375578168365,10.7554/eLife.68000,Characterization of the neurogenic niche in the aging dentate gyrus using iterative immunofluorescence imaging,2021-12-20,eLife,eLife Sciences Publications,FALSE,NA,NA,2343,1.081,Reimbursement P007604,NA,"157859, 196869, 192622",Chronoshub
Swiss National Science Foundation (SNSF),2021,3923.2192414431083,10.1126/sciadv.abk2341,Bayesian Probabilistic Assignment of Chemical Shifts in Organic Solids,2021-12-15,Science Advances,American Association for the Advancement of Science,FALSE,NA,NA,4241,1.081,110386 - 10179 - 15.12.2021,20AC-1_209275,"178860, 182892",SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2594.0795559666976,10.7554/eLife.70560,Processing of the ribosomal ubiquitin-like fusion protein FUBIeS30\/FAU is required for 40S maturation and depends on USP36,2021-12-14,eLife,eLife Sciences Publications,FALSE,NA,NA,2804.2,1.081,Reimbursement P007127,NA,166565,Chronoshub
Swiss National Science Foundation (SNSF),2021,2247.613320999075,10.3389/fcvm.2021.717939,"Automated Thrombin Generation Assay for Rivaroxaban, Apixaban, and Edoxaban Measurements",2021-12-14,Frontiers in Cardiovascular Medicine,Frontiers Media,FALSE,NA,NA,2429.67,1.081,Reimbursement 2021-0416697-3,NA,179334,Chronoshub
Swiss National Science Foundation (SNSF),2021,2312.072155411656,10.3389/fcvm.2021.749342,Long-term survival after venous thromboembolism: A prospective cohort study,2021-12-14,Frontiers in Cardiovascular Medicine,Frontiers Media,FALSE,NA,NA,2499.35,1.081,Reimbursement 2021-0446698-2,NA,179334,Chronoshub
Swiss National Science Foundation (SNSF),2021,655.2173913043479,10.3389/feduc.2021.726854,Brief Research Report: Agreement Between Teacher and Student Reports on Students’ Acceptance and Rejection,2021-12-14,Frontiers in Education,Frontiers Media,FALSE,NA,NA,708.29,1.081,Reimbursement 2021-0430563-2,NA,172773,Chronoshub
Swiss National Science Foundation (SNSF),2021,4857.4375578168365,10.1038/s41467-021-25780-4,Multiband charge density wave exposed in a transition metal dichalcogenide,2021-12-14,Nature Communications,Nature Publishing Group,FALSE,NA,NA,5250.89,1.081,Reimbursement 2936161058 2936167161,NA,"182652, 147607",Chronoshub
Swiss National Science Foundation (SNSF),2021,3459.8889916743756,10.1038/s41398-021-01659-2,Early life adoption shows rearing environment supersedes transgenerational effects of paternal stress on aggressive temperament in the offspring,2021-12-14,Translational Psychiatry,Springer Nature,FALSE,NA,NA,3740.14,1.081,Reimbursement 2676275628,NA,"158776, 185897",Chronoshub
Swiss National Science Foundation (SNSF),2021,2163.13598519889,10.1371/journal.pgen.1009365,Minimalistic mycoplasmas harbor different functional toxin-antitoxin systems,2021-12-14,PLoS Genetics,Public Library of Science (PLoS),FALSE,NA,NA,2338.35,1.081,Reimbursement PAB327564,NA,201152,Chronoshub
Swiss National Science Foundation (SNSF),2021,2050.6660499537466,10.1093/ijnp/pyab070,Alterations of Stress-Related Glucocorticoids and Endocannabinoids in Hair of Chronic Cocaine Users,2021-12-14,International Journal of Neuropsychopharmacology,Oxford University Press,FALSE,NA,NA,2216.77,1.081,Reimbursement E14714317,NA,"146326, 123516",Chronoshub
Swiss National Science Foundation (SNSF),2021,825.7169287696578,10.1186/s12859-021-04442-8,ProPIP: a tool for progressive multiple sequence alignment with Poisson Indel Process,2021-12-14,BMC Bioinformatics,BioMed Central,FALSE,NA,NA,892.6,1.081,Reimbursement 6106519258,NA,"176316, 157064",Chronoshub
Swiss National Science Foundation (SNSF),2021,2232.1572617946345,10.1186/s12936-021-03973-y,"Insights from modelling malaria vaccines for policy decisions: the focus on RTS,S",2021-12-14,Malaria Journal,BioMed Central,FALSE,NA,NA,2412.962,1.081,6106533826,NA,170702,Chronoshub
Swiss National Science Foundation (SNSF),2021,1493.9481961147087,10.1371/journal.pone.0257349,Pulmonary acini exhibit complex changes during postnatal rat lung development,2021-12-14,PLOS ONE,Public Library of Science (PLoS),FALSE,NA,NA,1614.958,1.081,PAB328082,NA,"153468, 175953",Chronoshub
Swiss National Science Foundation (SNSF),2021,2562.5189639222945,10.7554/eLife.70794,Spatial alanine metabolism determines local growth dynamics of Escherichia coli colonies,2021-12-14,eLife,eLife Sciences Publications,FALSE,NA,NA,2770.083,1.081,Reimbursement P007638,NA,180541,Chronoshub
Swiss National Science Foundation (SNSF),2021,2138.2053654024053,10.1103/PhysRevResearch.3.L042024,Unbiased Monte Carlo cluster updates with autoregressive neural networks,2021-12-14,Physical review research,American Physical Society,FALSE,NA,NA,2311.4,1.081,Reimbursement INV/21/NOV/007058,NA,200336,Chronoshub
Swiss National Science Foundation (SNSF),2021,1594.0795559666976,10.3390/genes12111792,KCNG1-Related Syndromic Form of Congenital Neuromuscular Channelopathy in a Crossbred Calf,2021-12-14,Genes,MDPI,FALSE,NA,NA,1723.2,1.081,Reimbursement 1446954,NA,172911,Chronoshub
Swiss National Science Foundation (SNSF),2021,1594.0795559666976,10.3390/ijms222212440,CNGB3 Missense Variant Causes Recessive Achromatopsia in Original Braunvieh Cattle,2021-12-14,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1723.2,1.081,Reimbursement 1463509,NA,172911,Chronoshub
Swiss National Science Foundation (SNSF),2021,1757.631822386679,10.3390/vaccines9121400,A Listeria monocytogenes-based vaccine formulation reduces vertical transmission and leads to enhanced pup survival in a pregnant neosporosis mouse model,2021-12-14,Vaccines,MDPI,FALSE,NA,NA,1900,1.081,1437934,NA,184662,Chronoshub
Swiss National Science Foundation (SNSF),2021,1972.6734505087882,10.3390/cancers13235991,CT-on-rails versus in-room CBCT for online daily adaptive proton therapy of head-and-neck cancers,2021-12-14,Cancers,MDPI,FALSE,NA,NA,2132.46,1.081,1410774,NA,191125,Chronoshub
Swiss National Science Foundation (SNSF),2021,1809.435707678076,10.1038/s41529-021-00209-x,Electrochemical tomography as a nondestructive technique to study localized corrosion of metals,2021-12-14,npj Materials Degradation,Nature Publishing Group,FALSE,NA,NA,1956,1.081,Reimbursement 2676280730,NA,"163675, 194812",Chronoshub
Swiss National Science Foundation (SNSF),2021,2562.5189639222945,10.7554/eLife.69744,Pathogen invasion-dependent tissue reservoirs and plasmid-encoded antibiotic degradation boost plasmid spread in the gut.,2021-12-14,eLife,eLife Sciences Publications,FALSE,NA,NA,2770.083,1.081,P007986,NA,192567,Chronoshub
Swiss National Science Foundation (SNSF),2021,1933.6003700277524,10.3389/fnins.2021.771480,Real-Time Edge Neuromorphic Tasting From Chemical Microsensor Arrays,2021-12-14,Frontiers in Neuroscience,Frontiers Media,FALSE,NA,NA,2090.222,1.081,2021-0468212-8,NA,177255,Chronoshub
Swiss National Science Foundation (SNSF),2021,2361.468085106383,10.1093/molbev/msab352,Functional constraints on insect immune system components govern their evolutionary trajectories,2021-12-14,Molecular Biology and Evolution,Oxford University Press,TRUE,NA,NA,2552.747,1.081,E14914555,NA,"170664, 186397",Chronoshub
Swiss National Science Foundation (SNSF),2021,2562.5189639222945,10.26508/lsa.202101112,Fms-like tyrosine kinase 3 is a regulator of the cardiac side population in mice,2021-12-14,Life Science Alliance,"Life Science Alliance, LLC",FALSE,NA,NA,2770.083,1.081,LSA-2021-01112_00622,NA,156953,Chronoshub
Swiss National Science Foundation (SNSF),2021,1758.6660499537466,10.1038/s41598-021-03435-0,Inversion in the permeability evolution of deforming Westerly granite near the brittle-ductile transition,2021-12-14,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1901.118,1.081,2676288658,NA,182069,Chronoshub
Swiss National Science Foundation (SNSF),2021,1594.0795559666976,10.3390/vaccines9121496,COVID-19 vaccinations: perceptions and behaviours in people with primary ciliary dyskinesia,2021-12-14,Vaccines,MDPI,FALSE,NA,NA,1723.2,1.081,1476894,NA,192804,Chronoshub
Swiss National Science Foundation (SNSF),2021,2546.938020351526,10.2147/copd.s331658,Effect of nocturnal oxygen on blood pressure response to altitude exposure in COPD - data from a randomized placebo-controlled cross­over trial ,2021-12-07,International Journal of Chronic Obstructive Pulmonary Disease,,FALSE,NA,NA,2753.24,1.081,110230 - 10892 - 07.12.2021,32AC-0_208959,143875,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,3191.4893617021276,10.1021/acsphotonics.1c00717,THz ultra-strong coupling in an engineered Fabry-Perot cavity,2021-12-07,ACS Photonics,American Chemical Society,TRUE,NA,NA,3450,1.081,110231 - 10202 - 07.12.2021,51AC-0_208960,185902,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1019.9065679925994,10.1080/26395916.2021.1939789,Large-scale agricultural investments in Eastern Africa: consequences for small-scale farmers and the environment,2021-12-07,Ecosystems and People,Taylor & Francis,FALSE,NA,NA,1102.519,1.081,952996014,NA,180391,Chronoshub
Swiss National Science Foundation (SNSF),2021,1759.5846438482888,10.1038/s41598-021-93647-1,Enhancing reappraisal of negative emotional memories with transcranial direct current stimulation,2021-12-07,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1902.111,1.081,2676284881,NA,169827,Chronoshub
Swiss National Science Foundation (SNSF),2021,1218.0869565217392,10.1093/cybsec/tyab017,The governance of 5G infrastructure: between path dependency and risk-based approaches,2021-12-07,Journal of Cybersecurity,Oxford University Press,FALSE,NA,NA,1316.752,1.081,E14729321,NA,"178007, 178007",Chronoshub
Swiss National Science Foundation (SNSF),2021,1759.5846438482888,10.1038/s41598-021-98309-w,Cerebral blood flow and cognitive outcome after pediatric stroke in the middle cerebral artery,2021-12-07,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1902.111,1.081,2676286347,NA,146894,Chronoshub
Swiss National Science Foundation (SNSF),2021,2211.749306197965,10.1371/journal.pgen.1009873,The FASTK family proteins fine-tune mitochondrial RNA processing,2021-12-07,PLoS Genetics,Public Library of Science (PLoS),FALSE,NA,NA,2390.901,1.081,PAB328273,NA,179421,Chronoshub
Swiss National Science Foundation (SNSF),2021,2211.749306197965,10.1371/journal.pgen.1009880,Signaling via the FLP-14\/FRPR-19 neuropeptide pathway sustains nociceptive response to repeated noxious stimuli in C. elegans,2021-12-07,PLoS Genetics,Public Library of Science (PLoS),FALSE,NA,NA,2390.901,1.081,PAB328321,NA,"150681, 155764, 197607",Chronoshub
Swiss National Science Foundation (SNSF),2021,2728.95467160037,10.3389/fmolb.2021.767088,A conserved mitochondrial chaperone-protease complex involved in protein homeostasis,2021-12-07,Frontiers in Molecular Biosciences,Frontiers Media,FALSE,NA,NA,2950,1.081,2021-0464044-3,NA,169355,Chronoshub
Swiss National Science Foundation (SNSF),2021,2362.7021276595747,10.1093/molbev/msab323,Histone H3K27 methylation perturbs transcriptional robustness and underpins dispensability of highly conserved genes in fungi,2021-12-07,Molecular Biology and Evolution,Oxford University Press,TRUE,NA,NA,2554.081,1.081,E14763868,NA,173265,Chronoshub
Swiss National Science Foundation (SNSF),2021,2576.7946345975947,10.7554/eLife.71077,Opioid antagonism modulates wanting-related frontostriatal connectivity,2021-12-07,eLife,eLife Sciences Publications,FALSE,NA,NA,2785.515,1.081,P007885,NA,"165884, 176016, 188878",Chronoshub
Swiss National Science Foundation (SNSF),2021,2576.7946345975947,10.7554/eLife.71443,Ca2+\/CaM binding to CaMKI promotes IMA-3 importin binding and nuclear translocation in sensory neurons to control behavioral adaptation,2021-12-07,eLife,eLife Sciences Publications,FALSE,NA,NA,2785.515,1.081,P007929,NA,"150681, 155764, 197607",Chronoshub
Swiss National Science Foundation (SNSF),2021,2211.749306197965,10.1371/journal.pgen.1009843,Repression of the Hox gene abd-A by ELAV-mediated Transcriptional Interference,2021-12-07,PLoS Genetics,Public Library of Science (PLoS),FALSE,NA,NA,2390.901,1.081,PAB328660,NA,"192621, 149634",Chronoshub
Swiss National Science Foundation (SNSF),2021,1893.835337650324,10.1093/g3journal/jkab397,ABHD5 frameshift deletion in Golden Retrievers with ichthyosis,2021-12-07,"G3 (Bethesda, Md.)",Oxford University Press,FALSE,NA,NA,2047.236,1.081,E14824574,NA,200354,Chronoshub
Swiss National Science Foundation (SNSF),2021,1888.0351526364477,10.5194/esd-12-1169-2021,Accounting for surface waves improves gas flux estimation at high wind speed in a large lake,2021-12-07,Earth System Dynamics,Copernicus GmbH,FALSE,NA,NA,2040.966,1.081,ESD-PUC-2021-63,NA,175530,Chronoshub
Swiss National Science Foundation (SNSF),2021,2337.567067530065,10.5194/gmd-14-7047-2021,"SuperflexPy 1.3.0: an open-source Python framework for building, testing, and improving conceptual hydrological models",2021-12-07,Geoscientific Model Development,Copernicus GmbH,FALSE,NA,NA,2526.91,1.081,GMD-PUC-2021-372,NA,169003,Chronoshub
Swiss National Science Foundation (SNSF),2021,2728.95467160037,10.3389/fpsyt.2021.690291,Prison Unhealthy Lifestyle and Poor  Mental Health of Older Persons—A Qualitative Study,2021-12-07,Frontiers in Psychiatry,Frontiers Media,FALSE,NA,NA,2950,1.081,2021-0391406-6,NA,166043,Chronoshub
Swiss National Science Foundation (SNSF),2021,3066.263644773358,10.1186/s13054-021-03814-z,The effect of the COVID-19 pandemic on the epidemiology of positive blood cultures in Swiss intensive care units: a nationwide surveillance study,2021-12-07,Critical Care,BioMed Central,FALSE,NA,NA,3314.631,1.081,6106530801,NA,194449,Chronoshub
Swiss National Science Foundation (SNSF),2021,1088.0323774283072,10.1007/s41109-021-00434-y,Testing biological network motif significance with exponential random graph models,2021-12-07,Applied Network Science,Springer Nature,FALSE,NA,NA,1176.163,1.081,6106530799,NA,167326,Chronoshub
Swiss National Science Foundation (SNSF),2021,2728.95467160037,10.3389/fpsyg.2021.767794,Professional Support After Partner Loss: Likelihood and Correlates of Help-Seeking Behavior,2021-12-07,Frontiers in Psychology,Frontiers Media,FALSE,NA,NA,2950,1.081,2021-0464578-4,NA,185901,Chronoshub
Swiss National Science Foundation (SNSF),2021,2728.95467160037,10.3389/fpsyg.2021.754488,Long-Term and Transfer Effects of an Action Control Intervention in Overweight Couples: A Randomized Controlled Trial Using Text Messages,2021-12-07,Frontiers in Psychology,Frontiers Media,FALSE,NA,NA,2950,1.081,2021-0451589-4,NA,133632,Chronoshub
Swiss National Science Foundation (SNSF),2021,1860.9657724329325,10.5194/soil-7-785-2021,Transformation of n-alkanes from plant to soil: a review,2021-12-07,SOIL,Copernicus Publications,FALSE,NA,NA,2011.704,1.081,SOIL-PUC-2021-41,NA,188684,Chronoshub
Swiss National Science Foundation (SNSF),2021,1654.9454209065682,10.1186/s13063-021-05818-0,"Exploring reasons for recruitment failure in clinical trials: a qualitative study with clinical trial stakeholders in Switzerland, Germany, and Canada",2021-12-07,Trials,BioMed Central,FALSE,NA,NA,1788.996,1.081,6106531119,NA,149496,Chronoshub
Swiss National Science Foundation (SNSF),2021,2065.4505087881594,10.3390/nano11123200,NanoTraPPED - a New Method for Determining the Surface Energy of Nanoparticles via Pickering Emulsion Polymerization,2021-12-07,Nanomaterials,MDPI,FALSE,NA,NA,2232.752,1.081,1459189,NA,188465,Chronoshub
Swiss National Science Foundation (SNSF),2021,2728.95467160037,10.3389/fnhum.2021.747391,Facilitating word retrieval in aphasia: which type of cues for which aphasic speakers?,2021-12-07,Frontiers in Human Neuroscience,Frontiers Media,FALSE,NA,NA,2950,1.081,2021-0444737-4,NA,146113,Chronoshub
Swiss National Science Foundation (SNSF),2021,1757.631822386679,10.3389/fctls.2021.790461,Fusion of glutamate dehydrogenase and formate dehydrogenase yields a bifunctional efficient biocatalyst for the continuous removal of ammonia,2021-12-07,Frontiers in Catalysis,Frontiers Media,TRUE,NA,NA,1900,1.081,2021-0485485-5,NA,192274,Chronoshub
Swiss National Science Foundation (SNSF),2021,1628.122109158187,10.3390/polym13234118,Chitosan Functionalization: Covalent and Non-Covalent Interactions and Their Characterization,2021-12-07,Polymers,MDPI,FALSE,NA,NA,1760,1.081,1482559,NA,180257,Chronoshub
Swiss National Science Foundation (SNSF),2021,1406.1054579093432,10.3390/su132313129,Significant Life Events And Career Sustainability: A Three-Wave Study,2021-12-07,Sustainability,MDPI,FALSE,NA,NA,1520,1.081,1461233,NA,185901,Chronoshub
Swiss National Science Foundation (SNSF),2021,3006.2608695652175,10.1128/mSystems.01055-21,Collateral Sensitivity Interactions between Antibiotics Depend on Local Abiotic Conditions,2021-12-07,mSystems,American Society for Microbiology,FALSE,NA,NA,3249.768,1.081,94303447,NA,165803,Chronoshub
Swiss National Science Foundation (SNSF),2021,2728.95467160037,10.3389/fnmol.2021.755686,The fine art of writing a message: RNA metabolism in the shaping and remodeling of the nervous system,2021-12-07,Frontiers in Molecular Neuroscience,Frontiers Media,FALSE,NA,NA,2950,1.081,2021-0452688-5,NA,161448,Chronoshub
Swiss National Science Foundation (SNSF),2021,2147.3293246993526,10.7554/eLife.67844,Taste sensing and sugar detection mechanisms in Drosophila larval primary taste center,2021-12-07,eLife,eLife Sciences Publications,FALSE,NA,NA,2321.263,1.081,P007913,NA,188471,Chronoshub
Swiss National Science Foundation (SNSF),2021,2362.061979648474,10.1063/5.0070103,Stable and compact RF-to-optical link using lithium niobate on insulator waveguides,2021-12-07,APL Photonics,AIP Publishing LLC,FALSE,NA,NA,2553.389,1.081,APP21-LE-00657_00468,NA,"176563, 193689",Chronoshub
Swiss National Science Foundation (SNSF),2021,1759.5846438482888,10.1038/s41598-021-02841-8,COMPETITION ALTERS SPECIES PLASTIC AND GENETIC RESPONSE TO ENVIRONMENTAL CHANGE,2021-12-07,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1902.111,1.081,2676286907,NA,179089,Chronoshub
Swiss National Science Foundation (SNSF),2021,1392.0989824236817,10.1098/rsos.211121,Evidence of joint commitment in great apes’ natural joint actions,2021-12-07,Royal Society Open Science,The Royal Society,FALSE,NA,NA,1504.859,1.081,742238,NA,166331,Chronoshub
Swiss National Science Foundation (SNSF),2021,3435.72617946346,10.1371/journal.pbio.3001483,The 3-phosphoinositide-dependent Protein Kinase 1 is an essential upstream Activator of Protein Kinase A in Malaria Parasites,2021-12-07,PLOS Biology,Public Library of Science (PLoS),FALSE,NA,NA,3714.02,1.081,APC600269066,NA,157729,Chronoshub
Swiss National Science Foundation (SNSF),2021,1759.5846438482888,https://doi.org/10.1038/s41598-021-02801-2,A comparative study of plant volatiles induced by insect and gastropod herbivory,2021-12-07,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1902.111,1.081,2676287111,NA,166632,Chronoshub
Swiss National Science Foundation (SNSF),2021,870.0621646623497,10.3897/neobiota.70.72508,Cost-benefit evaluation of management strategies for an invasive amphibian with a stage-structured model,2021-12-07,NeoBiota,Pensoft Publishers,FALSE,NA,NA,940.5372,1.081,17213C,NA,184114,Chronoshub
Swiss National Science Foundation (SNSF),2021,4738.899167437558,10.1038/s41467-021-25218-x,Interferon lambda 4 impairs hepatitis C viral antigen presentation and attenuates T cell responses,2021-12-06,Nature Communications,,FALSE,NA,NA,5122.75,1.081,110229 - 10859 - 06.12.2021,31AC-0_208958,185371,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1777.9833487511564,10.1186/s13063-021-05664-0,A trial platform to assess approved SARS-CoV-2 vaccines in immunocompromised patients: First sub-protocol for a pilot trial comparing the mRNA vaccines Comirnaty® and Covid-19 mRNA Vaccine Moderna® ,2021-12-01,Trials,Biomed Central,FALSE,NA,NA,1922,1.081,110135 - 10675 - 01.12.2021,31AC-0_208405,196245,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1924.0795559666974,10.3389/fonc.2021.765151,TGFβ signaling in myeloid cells promotes lung and liver metastasis through different mechanisms,2021-12-01,Frontiers in Oncology,Frontiers,FALSE,NA,NA,2079.93,1.081,110134 - 10239 - 01.12.2021,31AC-0_208407,173076,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,3358.279370952822,10.1038/s41427-021-00342-8,Towards Unraveling the Moisture-Induced Shape Memory Effect of Wood: The Role of Interface Mechanics Revealed by Upscaling Atomistic to Composite Modelling,2021-11-22,NPG Asia Materials,,FALSE,NA,NA,3630.3,1.081,110018 - 10859 - 22.11.2021,20AC-1_207421,162957,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,4943.237742830713,10.1016/j.celrep.2021.109189,An integrated genomic approach to dissect the genetic landscape regulating the cell-to-cell transfer of a-synuclein,2021-11-18,Cell Reports,Elsevier,FALSE,NA,NA,5343.64,1.081,Reimbursement OAD0000120116,NA,166943,Chronoshub
Swiss National Science Foundation (SNSF),2021,4908.81591119334,10.15252/emmm.202114745,LAG3 is not expressed in human and murine neurons and does not modulate α-synucleinopathies,2021-11-18,EMBO Molecular Medicine,Wiley,FALSE,NA,NA,5306.43,1.081,Reimbursement 7261490,NA,179040,Chronoshub
