"institution",period,euro,"doi","journal_full_title","publisher","is_hybrid","issn","url",chf,conversion_rate,invoice_original_amount,"invoice_original_currency","snsf_voucher_number","grant_snsf",grant_snsf_related
"Swiss National Science Foundation (SNSF)",2020,4672.44,"10.1016/j.celrep.2020.02.082","Cell Reports","Elsevier BV","FALSE","2211-1247",,5002.08,1.07055,,,"101225 - 10822 - 14.04.2020","31AC-0_196883",169966
"Swiss National Science Foundation (SNSF)",2020,4799.67,"10.1016/j.celrep.2020.107612","Cell Reports","Elsevier BV","FALSE","2211-1247",,5138.29,1.07055,,,"101610 - 10822 - 14.05.2020","31AC-0_198157",182344
"Swiss National Science Foundation (SNSF)",2020,4861.60,"10.1016/j.celrep.2020.107746","Cell Reports","Elsevier BV","FALSE","2211-1247",,5204.59,1.07055,,,"101841 - 10822 - 05.06.2020","31AC-0_198520",184751
"Swiss National Science Foundation (SNSF)",2020,4996.50,"10.1016/j.celrep.2020.107747","Cell Reports","Elsevier BV","FALSE","2211-1247",,5349.00,1.07055,,,"101881 - 11091 - 10.06.2020","31AC-0_198537",166318
"Swiss National Science Foundation (SNSF)",2020,4853.40,"10.1016/j.celrep.2020.107842","Cell Reports","Elsevier BV","FALSE","2211-1247",,5195.81,1.07055,,,"102082 - 10822 - 25.06.2020","31AC-0_198800",172909
"Swiss National Science Foundation (SNSF)",2020,5005.84,"10.1016/j.celrep.2020.107951","Cell Reports","Elsevier BV","FALSE","2211-1247",,5359.00,1.07055,,,"102812 - 10334 - 18.08.2020","31AC-0_199165",160719
"Swiss National Science Foundation (SNSF)",2020,4832.49,"10.1016/j.celrep.2020.107979","Cell Reports","Elsevier BV","FALSE","2211-1247",,5173.42,1.07055,,,"102421 - 10822 - 16.07.2020","31AC-0_198951",175548
"Swiss National Science Foundation (SNSF)",2020,4964.85,"10.1016/j.celrep.2020.108038","Cell Reports","Elsevier BV","FALSE","2211-1247",,5315.12,1.07055,,,"102542 - 10822 - 28.07.2020","31AC-0_199039",166923
"Swiss National Science Foundation (SNSF)",2020,4921.23,"10.1016/j.celrep.2020.108068","Cell Reports","Elsevier BV","FALSE","2211-1247",,5268.42,1.07055,,,"102766 - 10822 - 13.08.2020","31AC-0_199160",179360
"Swiss National Science Foundation (SNSF)",2020,3600.02,"10.1016/j.celrep.2020.108070","Cell Reports","Elsevier BV","FALSE","2211-1247",,3854.00,1.07055,3584.00,"EUR","103935 - 10669 - 12.10.2020","CRAC-3_200503",166735
"Swiss National Science Foundation (SNSF)",2020,4950.52,"10.1016/j.celrep.2020.108347","Cell Reports","Elsevier BV","FALSE","2211-1247",,5299.78,1.07055,,,"104189 - 10822 - 27.10.2020","31AC-0_201285",184718
"Swiss National Science Foundation (SNSF)",2020,3919.28,"10.1016/j.celrep.2020.108359","Cell Reports","Elsevier BV","FALSE","2211-1247",,4195.78,1.07055,3584.00,"EUR","104320 - 10822 - 03.11.2020","31AC-0_201334",182504
"Swiss National Science Foundation (SNSF)",2020,3480.02,"10.1016/j.chemosphere.2020.127333","Chemosphere","Elsevier BV","FALSE","0045-6535",,3725.54,1.07055,,,"103033 - 10822 - 26.08.2020","P4AC-3_199363",180757
"Swiss National Science Foundation (SNSF)",2020,1970.42,"10.1016/j.chiabu.2020.104565","Child Abuse & Neglect","Elsevier BV","FALSE","0145-2134",,2109.43,1.07055,,,"104077 - 10822 - 21.10.2020","40AC-0_201180",177355
"Swiss National Science Foundation (SNSF)",2020,2385.01,"10.1016/j.csbj.2020.02.019","Computational and Structural Biotechnology Journal","Elsevier BV","FALSE","2001-0370",,2553.27,1.07055,,,"100992 - 10822 - 20.03.2020","31AC-0_194854",173120
"Swiss National Science Foundation (SNSF)",2020,3348.94,"10.1016/j.eclinm.2020.100556","EClinicalMedicine","Elsevier BV","FALSE","2589-5370",,3585.21,1.07055,,,"103431 - 10822 - 16.09.2020","32AC-0_199738",175585
"Swiss National Science Foundation (SNSF)",2020,800.49,"10.1016/j.ijchp.2020.02.002","International Journal of Clinical and Health Psychology","Elsevier BV","FALSE","1697-2600",,856.96,1.07055,800.00,"EUR",,"PP00P1_163716",163716
"Swiss National Science Foundation (SNSF)",2020,2014.28,"10.1016/j.invent.2019.100298","Internet Interventions","Elsevier BV","FALSE","2214-7829",,2156.39,1.07055,,,"100131 - 10822 - 22.01.2020","33AC-0_193950",122679
"Swiss National Science Foundation (SNSF)",2020,2624.52,"10.1016/j.invent.2020.100339","Internet Interventions","Elsevier BV","FALSE","2214-7829",,2809.68,1.07055,,,"104311 - 10822 - 03.11.2020","10AC--_200571",169780
"Swiss National Science Foundation (SNSF)",2020,2807.80,"10.1016/j.isci.2020.100901","iScience","Elsevier BV","FALSE","2589-0042",,3005.89,1.07055,,,"101417 - 10822 - 28.04.2020","PPAC-1_197937",170511
"Swiss National Science Foundation (SNSF)",2020,2840.66,"10.1016/j.isci.2020.101163","iScience","Elsevier BV","FALSE","2589-0042",,3041.07,1.07055,,,"101765 - 10822 - 29.05.2020","31AC-0_198343",143369
"Swiss National Science Foundation (SNSF)",2020,1729.72,"10.1016/j.isci.2020.101291","iScience","Elsevier BV","FALSE","2589-0042",,1851.75,1.07055,,,"102227 - 10679 - 06.07.2020","PPAC-3_198862",179065
"Swiss National Science Foundation (SNSF)",2020,2396.89,"10.1016/j.jaa.2020.101170","Journal of Anthropological Archaeology","Elsevier BV","FALSE","0278-4165",,2565.99,1.07055,,,"101552 - 10822 - 07.05.2020","10AC-D_198056",172742
"Swiss National Science Foundation (SNSF)",2020,1820.56,"10.1016/j.matdes.2020.108506","Materials & Design","Elsevier BV","FALSE","0264-1275",,1949.00,1.07055,,,"101729 - 10202 - 26.05.2020","20AC-1_198226",166094
"Swiss National Science Foundation (SNSF)",2020,1888.17,"10.1016/j.matdes.2020.108530","Materials & Design","Elsevier BV","FALSE","0264-1275",,2021.38,1.07055,,,"100461 - 10822 - 13.02.2020","20AC-1_194144",169654
"Swiss National Science Foundation (SNSF)",2020,1864.64,"10.1016/j.matdes.2020.108647","Materials & Design","Elsevier BV","FALSE","0264-1275",,1996.19,1.07055,,,"101073 - 10822 - 30.03.2020","20AC-1_195688",175998
"Swiss National Science Foundation (SNSF)",2020,2807.80,"10.1016/j.neuroimage.2020.116705","NeuroImage","Elsevier BV","FALSE","1053-8119",,3005.89,1.07055,,,"101224 - 10822 - 14.04.2020","32AC-0_196882",156029
"Swiss National Science Foundation (SNSF)",2020,2768.25,"10.1016/j.neuroimage.2020.116718","NeuroImage","Elsevier BV","FALSE","1053-8119",,2963.55,1.07055,,,"101668 - 10822 - 19.05.2020","20AC-1_198220",163376
"Swiss National Science Foundation (SNSF)",2020,2774.82,"10.1016/j.neuroimage.2020.116898","NeuroImage","Elsevier BV","FALSE","1053-8119",,2970.58,1.07055,,,"101605 - 10822 - 13.05.2020","10AC-D_198180",131388
"Swiss National Science Foundation (SNSF)",2020,2748.77,"10.1016/j.nicl.2019.102123","NeuroImage: Clinical","Elsevier BV","FALSE","2213-1582",,2942.70,1.07055,,,"100132 - 10822 - 22.01.2020","32AC-0_193922",172914
"Swiss National Science Foundation (SNSF)",2020,2711.50,"10.1016/j.nicl.2020.102193","NeuroImage: Clinical","Elsevier BV","FALSE","2213-1582",,2902.80,1.07055,,,"100336 - 10822 - 07.02.2020","P1AC-1_194127",174818
"Swiss National Science Foundation (SNSF)",2020,1479.61,"10.1016/j.nmni.2019.100619","New Microbes and New Infections","Elsevier BV","FALSE","2052-2975",,1584.00,1.07055,,,"102183 - 10126 - 03.07.2020","32AC-0_198829",169853
"Swiss National Science Foundation (SNSF)",2020,637.45,"10.1016/j.ocarto.2020.100043","Osteoarthritis and Cartilage Open","Elsevier BV","FALSE","2665-9131",,682.42,1.07055,,,"101418 - 10822 - 28.04.2020","32AC-0_197956",159871
"Swiss National Science Foundation (SNSF)",2020,1474.97,"10.1016/j.pmedr.2020.101111","Preventive Medicine Reports","Elsevier BV","FALSE","2211-3355",,1579.03,1.07055,,,"101666 - 10822 - 19.05.2020","40AC-0_198219",167519
"Swiss National Science Foundation (SNSF)",2020,254.08,"10.1016/j.qsa.2020.100012","Quaternary Science Advances","Elsevier BV","FALSE","2666-0334",,272.00,1.07055,,,"103207 - 10670 - 07.09.2020","20AC-1_199384",172475
"Swiss National Science Foundation (SNSF)",2020,2700.53,"10.1016/j.redox.2020.101434","Redox Biology","Elsevier BV","FALSE","2213-2317",,2891.05,1.07055,,,"100468 - 10822 - 13.02.2020","31AC-0_194121",179478
"Swiss National Science Foundation (SNSF)",2020,2731.11,"10.1016/j.vaccine.2020.04.047","Vaccine","Elsevier BV","FALSE","0264-410X",,2923.79,1.07055,,,"102168 - 10126 - 02.07.2020","31AC-0_198826",156169
"Swiss National Science Foundation (SNSF)",2020,1812.18,"10.1016/j.wace.2020.100270","Weather and Climate Extremes","Elsevier BV","FALSE","2212-0947",,1940.03,1.07055,,,"102343 - 10822 - 14.07.2020","PZAC-2_198930",179876
"Swiss National Science Foundation (SNSF)",2020,2025.47,"10.1016/j.wroa.2019.100039","Water Research X","Elsevier BV","FALSE","2589-9147",,2168.37,1.07055,,,"100230 - 10822 - 31.01.2020","P4AC-3_194051",180757
"Swiss National Science Foundation (SNSF)",2020,1756.23,"10.1016/j.wroa.2020.100048","Water Research X","Elsevier BV","FALSE","2589-9147",,1880.13,1.07055,,,"100821 - 10822 - 12.03.2020","20AC-1_194862",176022
"Swiss National Science Foundation (SNSF)",2020,1723.51,"10.1016/s0167-8140(19)30732-7","Radiotherapy and Oncology","Elsevier BV","FALSE","0167-8140",,1845.10,1.07055,,,"100467 - 10859 - 13.02.2020","31AC-0_194125",173303
"Swiss National Science Foundation (SNSF)",2020,2719.84,"10.1016/s0167-8140(19)32330-8","Radiotherapy and Oncology","Elsevier BV","FALSE","0167-8140",,2911.73,1.07055,,,"104195 - 10239 - 27.10.2020","31AC-0_201305",173303
"Swiss National Science Foundation (SNSF)",2020,992.08,"10.1017/fms.2020.7","Forum of Mathematics, Sigma","Cambridge University Press (CUP)","FALSE","2050-5094",,1062.07,1.07055,,,"100818 - 10815 - 12.03.2020","20AC-1_194991",175755
"Swiss National Science Foundation (SNSF)",2020,2152.16,"10.1017/sus.2020.26","Global Sustainability","Cambridge University Press (CUP)","FALSE","2059-4798",,2304.00,1.07055,,,"104458 - 10188 - 11.11.2020","40AC-0_201363",172471
"Swiss National Science Foundation (SNSF)",2018,1305.13,"10.1021/acs.analchem.8b01551","Analytical Chemistry","American Chemical Society (ACS)","TRUE","0003-2700,1520-6882",,1507.25,1.15487,1500.00,"USD",,"PZ00P2_174061",174061
"Swiss National Science Foundation (SNSF)",2020,693.25,"10.1021/acsomega.0c03303","ACS Omega","American Chemical Society (ACS)","FALSE","2470-1343,2470-1343",,742.16,1.07055,,,"103249 - 10815 - 09.09.2020","CRAC-5_199467",180257
"Swiss National Science Foundation (SNSF)",2020,1458.89,"10.1029/2020ea001152","Earth and Space Science","American Geophysical Union (AGU)","FALSE","2333-5084,2333-5084",,1561.82,1.07055,,,"102540 - 10764 - 28.07.2020","20AC-1_199034",182600
"Swiss National Science Foundation (SNSF)",2020,1190.55,"10.1038/s41392-020-00370-w","Signal Transduction and Targeted Therapy","Springer Science and Business Media LLC","FALSE","2059-3635",,1274.54,1.07055,,,"104575 - 10859 - 17.11.2020","31AC-0_201410",189334
"Swiss National Science Foundation (SNSF)",2020,3323.45,"10.1038/s41398-020-01090-z","Translational Psychiatry","Springer Science and Business Media LLC","FALSE","2158-3188",,3557.92,1.07055,,,"104476 - 10859 - 11.11.2020","32AC-0_201380",144260
"Swiss National Science Foundation (SNSF)",2019,4818.11,"10.1038/s41467-019-10655-6","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5360.00,1.11247,4620.33,"EUR",,"200021_175867",175867
"Swiss National Science Foundation (SNSF)",2019,3442.44,"10.1038/s41467-019-10672-5","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,3829.61,1.11247,4260.33,"EUR",,"200020_185061",185061
"Swiss National Science Foundation (SNSF)",2019,4660.37,"10.1038/s41467-019-10798-6","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5184.52,1.11247,4620.33,"EUR",,"200021_179026",179026
"Swiss National Science Foundation (SNSF)",2019,4660.80,"10.1038/s41467-019-11785-7","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5185.00,1.11247,,,"100248 - 10679 - 31.01.2020","31AC-0_194047",176404
"Swiss National Science Foundation (SNSF)",2019,4438.77,"10.1038/s41467-019-12659-8","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,4938.00,1.11247,,,"100381 - 10679 - 10.02.2020","PPAC-3_194109",170627
"Swiss National Science Foundation (SNSF)",2019,4568.21,"10.1038/s41467-019-12798-y","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5082.00,1.11247,,,"100272 - 10012 - 03.02.2020","31AC-0_193999",166079
"Swiss National Science Foundation (SNSF)",2019,4703.05,"10.1038/s41467-019-12991-z","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5232.00,1.11247,,,"100991 - 10334 - 20.03.2020","31AC-0_194858",184827
"Swiss National Science Foundation (SNSF)",2019,4568.21,"10.1038/s41467-019-13254-7","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5082.00,1.11247,,,"100251 - 10674 - 31.01.2020","51AC-0_193940",183615
"Swiss National Science Foundation (SNSF)",2019,4694.73,"10.1038/s41467-019-13278-z","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5222.75,1.11247,,,"101419 - 10173 - 28.04.2020","31AC-0_197950",163338
"Swiss National Science Foundation (SNSF)",2019,4601.47,"10.1038/s41467-019-13514-6","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5119.00,1.11247,4620.33,"EUR",,"200021_184873",184873
"Swiss National Science Foundation (SNSF)",2020,4833.03,"10.1038/s41467-019-14209-8","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5174.00,1.07055,,,"100380 - 10679 - 10.02.2020","PPAC-3_194097",159587
"Swiss National Science Foundation (SNSF)",2020,4827.43,"10.1038/s41467-020-14292-2","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5168.00,1.07055,,,"100346 - 10179 - 07.02.2020","20AC-1_194115",178846
"Swiss National Science Foundation (SNSF)",2020,4808.25,"10.1038/s41467-020-14536-1","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5147.47,1.07055,,,"100352 - 10859 - 10.02.2020","BSAC-0_194048",155873
"Swiss National Science Foundation (SNSF)",2020,4874.34,"10.1038/s41467-020-14549-w","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5218.23,1.07055,,,"100244 - 10859 - 31.01.2020","20AC-1_194079",184819
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-14683-5","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"100735 - 10859 - 05.03.2020","51AC-0_194634",183615
"Swiss National Science Foundation (SNSF)",2020,4743.36,"10.1038/s41467-020-14712-3","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5078.00,1.07055,,,"101834 - 10680 - 05.06.2020","31AC-0_198471",173334
"Swiss National Science Foundation (SNSF)",2020,4808.25,"10.1038/s41467-020-14729-8","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5147.47,1.07055,,,"100464 - 10859 - 13.02.2020","31AC-0_194124",169850
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-14755-6","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"101229 - 10859 - 14.04.2020","20AC-1_196916",188634
"Swiss National Science Foundation (SNSF)",2020,4808.26,"10.1038/s41467-020-15025-1","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5147.48,1.07055,,,"100597 - 10859 - 24.02.2020","PPAC-3_194569",150663
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-15133-y","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"100993 - 10859 - 20.03.2020","31AC-0_194781",175774
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-15309-6","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"100907 - 10859 - 17.03.2020","PPAC-3_194870",181037
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-15335-4","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"101288 - 10859 - 16.04.2020","P3AC-3_194988",174344
"Swiss National Science Foundation (SNSF)",2020,4795.67,"10.1038/s41467-020-15357-y","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5134.00,1.07055,,,"101553 - 10179 - 07.05.2020","31AC-0_198022",162550
"Swiss National Science Foundation (SNSF)",2020,4803.14,"10.1038/s41467-020-15586-1","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5142.00,1.07055,,,"101588 - 11065 - 11.05.2020","31AC-0_198154",166448
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-15657-3","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"101190 - 10859 - 08.04.2020","31AC-0_196880",165826
"Swiss National Science Foundation (SNSF)",2020,5067.49,"10.1038/s41467-020-15681-3","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5425.00,1.07055,,,"101517 - 10678 - 06.05.2020","20AC-1_198027",184607
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-15824-6","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"101226 - 10859 - 14.04.2020","PPAC-2_196884",157551
"Swiss National Science Foundation (SNSF)",2020,4778.10,"10.1038/s41467-020-15864-y","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5115.20,1.07055,,,"101334 - 10669 - 22.04.2020","31AC-0_197150",173089
"Swiss National Science Foundation (SNSF)",2020,4748.33,"10.1038/s41467-020-15891-9","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5083.32,1.07055,,,"101235 - 10859 - 15.04.2020","31AC-0_196993",169791
"Swiss National Science Foundation (SNSF)",2020,4692.54,"10.1038/s41467-020-16137-4","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5023.60,1.07055,,,"101634 - 10859 - 15.05.2020","BSAC-0_198182",155818
"Swiss National Science Foundation (SNSF)",2020,4692.54,"10.1038/s41467-020-16384-5","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5023.60,1.07055,,,"101636 - 10859 - 15.05.2020","20AC-1_198199",166094
"Swiss National Science Foundation (SNSF)",2020,4714.40,"10.1038/s41467-020-16409-z","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5047.00,1.07055,,,"102180 - 10202 - 03.07.2020","31AC-0_198833",189364
"Swiss National Science Foundation (SNSF)",2020,4720.94,"10.1038/s41467-020-16458-4","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5054.00,1.07055,,,"103245 - 10202 - 09.09.2020","20AC-1_199423",185039
"Swiss National Science Foundation (SNSF)",2020,4722.85,"10.1038/s41467-020-16560-7","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5056.05,1.07055,,,"102648 - 10202 - 10.08.2020","51AC-0_199138",160591
"Swiss National Science Foundation (SNSF)",2020,4681.43,"10.1038/s41467-020-16574-1","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5011.71,1.07055,,,"101671 - 10859 - 20.05.2020","31AC-0_198225",175608
"Swiss National Science Foundation (SNSF)",2020,4819.40,"10.1038/s41467-020-16576-z","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5159.41,1.07055,,,"101873 - 10859 - 10.06.2020","PZAC-2_198551",185835
"Swiss National Science Foundation (SNSF)",2020,4714.40,"10.1038/s41467-020-16596-9","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5047.00,1.07055,,,"101984 - 10179 - 17.06.2020","31AC-0_198681",179324
"Swiss National Science Foundation (SNSF)",2020,4679.84,"10.1038/s41467-020-16620-y","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5010.00,1.07055,,,"102319 - 10202 - 09.07.2020","PRAC-2_198893",179834
"Swiss National Science Foundation (SNSF)",2020,4819.40,"10.1038/s41467-020-16679-7","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5159.41,1.07055,,,"101876 - 10859 - 10.06.2020","31AC-0_198570",159767
"Swiss National Science Foundation (SNSF)",2020,4753.63,"10.1038/s41467-020-16803-7","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5089.00,1.07055,,,"102057 - 10679 - 24.06.2020","31AC-0_198749",185379
"Swiss National Science Foundation (SNSF)",2020,4811.38,"10.1038/s41467-020-16889-z","Nature Communications","Springer Science and Business Media LLC","FALSE","2041-1723",,5150.82,1.07055,,,"102751 - 10859 - 13.08.2020","PPAC-3_199158",165893
