DOI;apc;colour charge;cover charge;page charge;permission;reprint;submission fee;payment fee;other;unknown;précision
10.1021/acs.accounts.0c00662;2072,88;;;1067,46;;;;;;;
10.1021/acs.est.0c02721;3359,51;;;;;;;;;150;
10.1021/acsbiomaterials.2c00308;1500;;;;;;;;;1650;
10.1021/acsnano.2c04395;1929,4;;1591,76;;;;;;;;
10.1021/jacsau.2c00030;3630,09;;1293,22;;;;;;;;
10.1029/2017TC004697;3000;;;982,5327563;;;;;;;
10.1029/2018EA000428;1604,4;;;3360;;;;;;;
10.1029/2018JB016831;3600;;;660;;;;;;;
10.1029/2018JD029644;3000;;;220;;;;;;;
10.1029/2019JB018974;3000;;;1000;;;;;;;
10.1029/2019jc015119;3000;;;784;;;;;;;
10.1029/2019JD031753;2937,12;;;476,85;;;;;;;
10.1029/2020GL091764;2000;;;419,4630872;;;;;;;
10.1038/s41375-020-01034-y;500;;;1800;;;;;;;
10.1038/s41386-022-01313-5;3690;;;;;;;;;738;
10.1038/s42003-022-03503-9;2890;;;;;;;;;644;
10.1039/c7dt01344b;2358,75;;;;;;;;;565;
10.1039/d2fo00048b;2122,39;;700;;;;;;;;
10.1053/j.gastro.2021.08.057;1145,17;;;;;;64,55;;;;
10.1053/j.gastro.2021.11.006;2100;;;;;;;;;935,15;
10.1073/pnas.1716002114;1439,68;;;;;;;;;931,56;
10.1073/pnas.1808445115;942,71;;;1456,91;;;;;;;
10.1073/pnas.1819660116;1335,232335;;;1459,85402;;;;;;;
10.1073/pnas.1903903116;1344;;;2446,08;;;;;;;
10.1073/pnas.2003266117;1531;;;;;;;;;2896;
10.1073/pnas.2113744118;1769,6;;;;;;;;1884,62;;publication fee
10.1073/pnas.2114221118;1875,12;;;;;;;;;1293,83;
10.1074/mcp.RA117.000443;1600;;;2192;;;;;;;
10.1080/00393630.2016.1232529;1075;990;;;;;;;;;
10.1080/21541248.2017.1405773;2406,42;;;;;;;;;578;
10.1080/21541264.2017.1373891;1626,48;;;;;;;;;578;
10.1080/2162402X.2018.1433981;705,2;;;1344,8;;;;;;;
10.1080/2162402X.2019.1616153;622;;;;;;;;;440;
10.1080/23723556.2017.1356430;236,52;;;226,8;;;;;;;
10.1080/23723556.2018.1448245;292;;;330;;;;;;;
10.1084/jem.20201729;4120,65;;;;;;;;;62,95;
10.1088/1748-9326/ab24f4;1610,66;609,34;;;;;;;;;
10.1089/can.2022.0014;2936,05;714,01;;;;;;;;;
10.1089/hum.2018.122;3200;;;600;;;;;;;
10.1093/aje/kwac042;2812;;;;;;;;1143;;page charge & colour charge
10.1093/bioinformatics/btaa118;2450;3150;;150;;;;;;;
10.1093/bioinformatics/btac425;2921;525;;;;;;;;;
10.1093/bioinformatics/bty577;2560;;;;;;;;;1095;
10.1093/cercor/bhac337;4475;;;658;;;;;;;
10.1093/cercor/bhy113;3276;;;846;;;;;;;
10.1093/cercor/bhy125;2730;;;846;;;;;;;
10.1093/cid/ciaa792;3292;;;;;;;;;280;
10.1093/cid/ciaa841;3292;;;;;;;;;417;
10.1093/cid/ciab168;3292;;;579;;;;;;;
10.1093/cid/ciab569;3952;;;;;;;;;660;
10.1093/cid/ciab906;3391;;;660;;;;;;;
10.1093/hmg/ddx060;2000;1150;;;;;;;;;
10.1093/ibd/izac244;3300;;;;;487;;;;;
10.1093/infdis/jiab375;3301,5;1266;;;;;;;;;
10.1093/infdis/jiab431;3292;524;;280;;;;;;;
10.1093/infdis/jiab459;3292;;;;;;;;1103;;page charge & colour charge
10.1093/infdis/jiac086;3391;524;;660;;;;;;;
10.1093/jme/tjy134;2240;1060;;;;;;;;;
10.1093/jnen/nlx092;2450;;;948;;;;;;;
10.1093/nar/gkaa607;2684,4;;;756;;;;;;;
10.1093/nar/gkaa659;2237;;;1102;;;;;;;
10.1093/nar/gkx1118;1917;;;360;;;;;;;
10.1093/nar/gkx927;2130;;;1050;;;;;;;
10.1093/nar/gky1068;1800;;;437;;;;;;;
10.1093/nar/gky1212;2556;;;1080;;;;;;;
10.1093/nar/gky322;2013;;;600;;;;;;;
10.1093/nar/gky584;1612,88;;;;;;;;;750;
10.1093/nar/gky638;2130;;;;;;;;;1200;
10.1093/nar/gky850;2130;;;750;;;;;;;
10.1093/nar/gky929;2237;;;1417,5;;;;;;;
10.1093/nar/gkz1128;2237;;;2835;;;;;;;
10.1093/nar/gkz225;2237;315;;;;;;;;;
10.1093/nar/gkz598;2237;;;;;;;;;1102,5;
10.1093/nar/gkz838;2684,4;;;1323;;;;;;;
10.1093/rheumatology/keab943;3380;;;;;;;;;143;
10.1093/toxsci/kfy298;3675;;;;;;;;;487,5;
10.1094/PBIOMES-05-20-0036-R;1690;;;;;;;;;93,53;
10.1094/pdis-11-21-2454-re;2835;1819,16;;;;;;;;;
10.1094/phyto-03-22-0096-rvw;2959,8;;;;;;;;;1625,53;
10.1094/PHYTO-07-20-0273-SC;1691,76;313,76;;330,72;;;;;59,36;;figure fee not include print color (29,68 €) + supplemental material (29,68 €)
10.1096/fj.202100323RR;2083;;;1746,11;;;;;;;
10.1097/AUD.0000000000001090;2860,54;;;234;;;;;;;
10.1101/gad.318485.118;1760;2068;;528;;;;;;49,36;
10.1101/gad.349072.121;3281,16;;;;;;;;1330,2;;base APC price
10.1109/JBHI.2018.2867727;1529,66;;;215;;;;;;;
10.1109/JBHI.2021.3108699;1942,75;;;850;;;;;;;
10.1109/JSEN.2020.2999863;2262,59;;;757,51;;;;;;;
10.1109/jstqe.2022.3185169;2541,25;;;254,7;;;;;;;
10.1109/TNNLS.2018.2807983;1528,384288;;;524,01747;;;;;;;
10.1109/TNSRE.2019.2936411;1868,97;;;545,45;;;;;;;
10.1109/TPAMI.2022.3202855;1639,119852;;;1099,65;;;;;;;
10.1109/TRO.2019.2958211;1832,32;;;940,8;;;;;;;
10.1109/TVCG.2021.3065443;1459,73;;;;;;;;;563,62;
10.1109/TWC.2021.3110785;2085,32;;;;;;;;;1355,82;
10.1111/aos.14929;3300;;;930,34;;;;;;;
10.1111/biom.13433;2783;;;;;;;;;282,79;
10.1111/jbg.12526;2804;;;;;;;;;546;
10.1111/mmi.14068;2786;456;;;;;;;;;
10.1111/tbed.13150;3583;;;;;;;;;232,2;
10.1121/10.0003816;1880;833,21;;136,73;;;;;;;
10.1121/10.0010452;2285,24;;;249,3;;;;;;;
10.1121/10.0011545;2273,19;;;330,65;;;;;;;
10.1121/10.0016442;2056,08;;;373,83;;;;;;;
10.1128/AAC.01098-21;3057,83;;;;;;;;310,17;;supplemental material
10.1128/aem.02378-21;2614,6;;;;;;;;231,29;;supplemental material
10.1128/mbio.00307-22;2479,62;;;;;;;;219,35;;supplemental material
10.1128/mbio.00882-20;3129;;;;;;;;317,37;;supplemental material
10.1128/mbio.00981-22;3470,42;;;;;;;;337,53;;supplemental material
10.1128/mbio.01303-20;2235;;;;;;;;205,62;;supplemental material
10.1128/mbio.01851-22;3650;;;355;;;;;;;
10.1128/mbio.02375-22;3688,77;;;358,77;;;;;;;
10.1128/mbio.02514-22;3650;;;355;;;;;;;
10.1128/mbio.02880-22;2667,21;;;235,95;;;;;;;
10.1128/msphere.00365-23;3580;;;;;;;;339;;supplemental material
10.1128/msphere.00482-21;2479,62;;;;;;;;219,35;;supplemental material
10.1128/msystems.00432-22;2415,4;;;;;;;;213,67;;supplemental material
10.1128/msystems.00488-21;2305,68;;;;;;;;203,96;;supplemental material
10.1128/mSystems.00978-21;2167,82;;;;;;;;198,58;;supplemental material
10.1128/spectrum.02080-22;1683,37;;;;;;;;356,77;;supplemental material
10.1128/spectrum.02989-22;2402,06;;;;;;;;397,5;;supplemental material
10.11591/ijece.v11i2.pp1641-1655;259,56;;;406,5;;;;;;;
10.1161/CIRCULATIONAHA.121.056589;4222;4222;;;;;;;;;
10.1175/jas-d-18-0369.1;678,4;;;1322,88;;;;;;;
10.1175/jas-d-19-0135.1;737,6;;;2139,04;;;;;;;
10.1175/JAS-D-21-0337.1;1021,9;;;2624,21;;;;;;;
10.1175/jas-d-22-0021.1;1133;;;2370,96;;;;;;;
10.1175/jcli-d-17-0082.1;688;;;2369,3;;;;;;;
10.1175/jcli-d-19-0304.1;678,4;;;2951,04;;;;;;;
10.1175/JHM-D-20-0115.1;932,2;;;2135,59;;;;;;;
10.1175/JPO-D-21-0300.1;1062,6;;;2053,73;;;;;;;
10.1175/JTECH-D-20-0160.1;975,48;;;3955,13;;;;;;;
10.1175/MWR-D-21-0207.1;1043,79;;;1945,55;;;;;;;
10.1182/blood.2021010848;2216,56;;;;;;;;89,19;;supplemental material
10.1182/blood.2021013328;2345,25;;;1153,863;;;;;;;
10.1182/bloodadvances.2018021287;2639,76;;;;;;92,4;;;;
10.1182/bloodadvances.2020003100;2560,1;;;;;;89,6;;;;
10.1261/rna.077529.120;1236;;;82,4;;;;;;;
10.1261/rna.078969.121;3598;;;50;;;;;;;
10.1261/rna.079073.121;3734;325;;;;;;;;;
10.1364/BOE.10.000995;1431,2;;;127,31;;;;;;;
10.1364/BOE.9.004113;1396,57;;;125,78;;;;;;;
10.1364/oe.27.00a294;1708,96;;;1148,4;;;;;;30,8;
10.1364/oe.384515;912,78;;;350,37;;;;;;;
10.1364/OE.438346;1677,966102;;;499,1525424;;;;;;;
10.1364/OE.460921;2010;;;1621,88;;;;;;;
10.1364/OME.388060;1440,16;;;2772,73;;;;;;;
10.1364/OME.438588;1340,4;;;154,41;;;;;;;
10.1364/OPTCON.447053;1026,03;;;514,34;;;;;;;
10.1364/OPTICA.388383;1857,83;2212,8;;;;;;;;;
10.15252/msb.20177845;3300;;;;;;;;;2600;
10.15837/ijccc.2021.3.4240;500;;;;;;100;;;;
10.2196/24727;1611,2;;;;;;112,78;;;;
10.2196/35465;2745,88;;;;;;;;381,35;;fast track fee
10.2196/37122 ;3010,99;;;;;;;;426,99;;fast track fee
10.2340/00015555-3765;1650;;;;;;100;;;;
10.3791/62245;1800;;;;;;;;;2400;
10.3847/2041-8213/aaa5fe;245,26;267,84;;;;;;;;;
10.5194/hess-24-1171-2020;1309;;;;;;40;;;;
10.5194/hess-24-1823-2020;744;;;;;;40;;;;
10.5194/piahs-383-381-2020;226,8;;;;;;40;;;;
10.5751/ace-02174-170132;532;;;71,02;;;;;;;
