institution;period;CHF;DOI;is hybrid
University of Bern;17.07.2024;2.224,92 CHF;10.5194/nhess-2024-6;false
University of Bern;17.07.2024;2.723,63 CHF;10.1186/S12909-024-05645-2;false
University of Bern;17.07.2024;1.920,41 CHF;10.1371/journal.pone.0305703;false
University of Bern;17.07.2024;1.556,64 CHF;10.3390/sports12070178;false
University of Bern;22 May 2024;2342,61 CHF ;10.3389/fcimb.2024.1414861;false
University of Bern;21. Jun 24;2342,61 CHF ;10.3389/fvets.2024.1409694;false
University of Bern;07 May 2024;2342,61 CHF ;10.3389/fspor.2024.1406638;false
University of Bern;13 May 2024;2342,61 CHF ;10.3389/fpsyt.2024.1403618;false
University of Bern;29. Apr 24;2342,61 CHF ;10.3389/fphys.2024.1396212;false
University of Bern;27 May 2024;2342,61 CHF ;10.3389/fnhum.2024.1395426;false
University of Bern;30. Apr 24;2342,61 CHF ;10.3389/fdata.2024.1390467;false
University of Bern;06 May 2024;2342,61 CHF ;10.3389/fimmu.2024.1390163;false
University of Bern;08. Apr 24;2342,61 CHF ;10.3389/fmed.2024.1389655;false
University of Bern;27. Jun 24;2342,61 CHF ;10.3389/fimmu.2024.1387945;false
University of Bern;25 Mar 2024;2342,61 CHF ;10.3389/fspor.2024.1380903;false
University of Bern;14 May 2024;2342,61 CHF ;10.3389/fsufs.2024.1377369;false
University of Bern;24. Jun 24;2342,61 CHF ;10.3389/fvets.2024.1376604;false
University of Bern;11 Mar 2024;2342,61 CHF ;10.3389/fendo.2024.1371468;false
University of Bern;02 May 2024;2342,61 CHF ;10.3389/fcogn.2024.1369638;false
University of Bern;18 Mar 2024;2342,61 CHF ;10.3389/fsurg.2024.1363431;false
University of Bern;15. Feb 24;2342,61 CHF ;10.3389/fcogn.2024.1362636;false
University of Bern;09. Jan 24;2342,61 CHF ;10.3389/fneur.2024.1359437;false
University of Bern;12. Feb 24;2342,61 CHF ;10.3389/fsurg.2024.1351749;false
University of Bern;19. Feb 24;2342,61 CHF ;10.3389/fsurg.2024.1348140;false
University of Bern;28. May 2024;2342,61 CHF ;10.3389/fvets.2024.1347083;false
University of Bern;25. Apr 24;2342,61 CHF ;10.3389/fpain.2024.1342954;false
University of Bern;08. Apr 24;2342,61 CHF ;10.3389/fvets.2024.1334303;false
University of Bern;19. Feb 24;2342,61 CHF ;10.3389/fpsyg.2024.1333594;false
University of Bern;16. Apr 24;2342,61 CHF ;10.3389/fpsyt.2024.1301489;false
