"institution","period","CHF","DOI","is hybrid","currency","euro"
"University of Bern","2024-04-19","1.507,80","https://doi.org/10.20944/preprints202312.1150.v1","false","CHF","1557.64"
"University of Bern","2024-04-10","2.509,60","10.1038/S41598-024-58408-W","false","CHF","2558.21"
"University of Bern","2024-04-19","2.075,52","10.3390/ani14071103","false","CHF","2144.13"
"University of Bern","2024-04-19","2.735,69","10.1136/bmjopen-2024-084560","false","CHF","2826.13"
"University of Bern","2024-04-19","969,65","10.1525/collabra.117096","false","CHF","1001.7"
"University of Bern","2024-04-26","867,92","10.1161/JAHA.123.033210","false","CHF","887.53"
"University of Bern","2024-04-26","567,45","10.5334/johd.184 ","false","CHF","580.27"
"University of Bern","2024-05-08","2.334,96","10.3390/healthcare12090920","false","CHF","2389.93"
"University of Bern","2024-05-08","2.248,48","10.3390/ma17092128","false","CHF","2301.41"
"University of Bern","2024-05-08","2.248,48","10.3390/ma17102261","false","CHF","2301.41"
"University of Bern","2024-07-31","1.776,52","10.1371/journal.pone.0302454","false","CHF","1863.55"
"University of Bern","2024-06-05","2.248,48","10.3390/jcm13092706","false","CHF","2317.07"
"University of Bern","2024-05-15","2.399,82","10.3390/ijms25105162","false","CHF","2448.8"
"University of Bern","2024-05-29","1.613,55","10.2196/48262","false","CHF","1628.7"
"University of Bern","2024-06-05","2.509,60","10.1038/s41598-024-62364-w","false","CHF","2586.15"
"University of Bern","2024-06-05","824,04","10.5194/acp-24-5837-2024","false","CHF","849.18"
"University of Bern","2024-07-19","1.820,34","10.7717/peerj.17432","false","CHF","1878.96"
"University of Bern","2024-06-14","1.439,41","10.1186/s00015-024-00461-8","false","CHF","1509.77"
"University of Bern","2024-08-07","2.458,90","10.1038/s41598-024-63797-z","false","CHF","2613.35"
"University of Bern","2024-07-17","2.507,92","10.3390/ijms25116257","false","CHF","2587.35"
"University of Bern","2024-07-17","2.224,92","10.5194/nhess-2024-6","false","CHF","2295.39"
"University of Bern","2024-07-17","2.723,63","10.1186/S12909-024-05645-2","false","CHF","2809.89"
"University of Bern","2024-07-17","1.920,41","10.1371/journal.pone.0305703","false","CHF","1981.23"
"University of Bern","2024-07-17","1.556,64","10.3390/sports12070178","false","CHF","1605.94"
"University of Bern","2024-05-22","2342,61","10.3389/fcimb.2024.1414861","false","CHF","2365.08"
"University of Bern","2024-06-21","2342,61","10.3389/fvets.2024.1409694","false","CHF","2456.34"
"University of Bern","2024-05-07","2342,61","10.3389/fspor.2024.1406638","false","CHF","2397.76"
"University of Bern","2024-05-13","2342,61","10.3389/fpsyt.2024.1403618","false","CHF","2394.33"
"University of Bern","2024-04-29","2342,61","10.3389/fphys.2024.1396212","false","CHF","2396.29"
"University of Bern","2024-05-27","2342,61","10.3389/fnhum.2024.1395426","false","CHF","2361.03"
"University of Bern","2024-04-30","2342,61","10.3389/fdata.2024.1390467","false","CHF","2393.59"
"University of Bern","2024-05-06","2342,61","10.3389/fimmu.2024.1390163","false","CHF","2401.69"
"University of Bern","2024-04-08","2342,61","10.3389/fmed.2024.1389655","false","CHF","2388.71"
"University of Bern","2024-06-27","2342,61","10.3389/fimmu.2024.1387945","false","CHF","2439.2"
"University of Bern","2024-03-25","2342,61","10.3389/fspor.2024.1380903","false","CHF","2409.1"
"University of Bern","2024-05-14","2342,61","10.3389/fsufs.2024.1377369","false","CHF","2390.17"
"University of Bern","2024-06-24","2342,61","10.3389/fvets.2024.1376604","false","CHF","2443.78"
"University of Bern","2024-03-11","2342,61","10.3389/fendo.2024.1371468","false","CHF","2441.74"
"University of Bern","2024-05-02","2342,61","10.3389/fcogn.2024.1369638","false","CHF","2400.46"
"University of Bern","2024-03-18","2342,61","10.3389/fsurg.2024.1363431","false","CHF","2432.62"
"University of Bern","2024-02-15","2342,61","10.3389/fcogn.2024.1362636","false","CHF","2470.07"
"University of Bern","2024-01-09","2342,61","10.3389/fneur.2024.1359437","false","CHF","2515.42"
"University of Bern","2024-02-12","2342,61","10.3389/fsurg.2024.1351749","false","CHF","2484.21"
"University of Bern","2024-02-19","2342,61","10.3389/fsurg.2024.1348140","false","CHF","2467.98"
"University of Bern","2024-05-28","2342,61","10.3389/fvets.2024.1347083","false","CHF","2364.36"
"University of Bern","2024-04-25","2342,61","10.3389/fpain.2024.1342954","false","CHF","2392.37"
"University of Bern","2024-04-08","2342,61","10.3389/fvets.2024.1334303","false","CHF","2388.71"
"University of Bern","2024-02-19","2342,61","10.3389/fpsyg.2024.1333594","false","CHF","2467.98"
"University of Bern","2024-04-16","2342,61","10.3389/fpsyt.2024.1301489","false","CHF","2412.08"
