Institution;Period;apc;currency;doi;is hybrid
University of Bern;15.11.2021;1442.74;EUR;https://doi.org/10.3390/cells10102661;false
University of Bern;11.10.2021;1723.20;CHF;https://doi.org/10.3390/genes12101489;false
University of Bern;11.10.2021;1723.20;CHF;https://doi.org/10.3390/genes12101497;false
University of Bern;19.10.2021;840.05;USD;https://doi.org/10.1128/MRA.00847-21;false
University of Bern;19.10.2021;1820.13;EUR;https://doi.org/10.1038/s41598-021-99229-5;false
University of Bern;02.12.2021;1238.88;CHF;https://doi.org/10.3389/fspas.2021.726373;false
University of Bern;25.11.2021;1550.88;CHF;https://www.mdpi.com/2076-2615/11/9/2567;false
University of Bern;15.11.2021;1500;CHF;https://doi.org/10.3389/fpsyg.2021.662828;false
University of Bern;16.12.2021;3177.15;USD;10.3389/fmicb.2021.738492;false
University of Bern;25.11.2021;1453.95;USD;https://doi.org/10.1155/2021/5520195;false
University of Bern;25.11.2021;1825.50;USD;https://doi.org/10.1371/journal.pone.0258302;false
University of Bern;29.11.2021;2185.25;EUR;https://doi.org/10.1093/ofid/ofab524;false
University of Bern;30.12.2021;2417.87;GBP;https://doi.org/10.1186/s12904-021-00850-y;false
University of Bern;25.11.2021;3177.15;USD;https://doi.org/10.3389/fvets.2021.705632;false
University of Bern;25.11.2021;1550.88;CHF;10.3390/ani11102973;false
University of Bern;13.12.2021;521.80;CHF;doi: 10.1016/j.jaccas.2021.04.018. eCollection 2021 Jun.;false
University of Bern;25.11.2021;3177.15;USD;10.3389/fpsyg.2021.687512;false
University of Bern;15.11.2021;1500;CHF;10.1038/s41598-021-00758-w;false
University of Bern;25.11.2021;3177.15;USD;10.3389/fcell.2021.718066;false
University of Bern;13.12.2021;513.90;CHF;https://doi.org/10.1016/j.jaccas.2021.08.024;false
University of Bern;02.12.2021;2094.77;EUR;https://doi.org/10.1186/s12938-021-00947-8;false
University of Bern;16.12.2021;1848;EUR;https://doi.org/10.5194/amt-14-6509-2021;false
University of Bern;06.12.2021;1992.45;USD;https://doi.org/10.3389/fphar.2021.751214;false
