Institution name;APC Payment Year;Date of Submission;Date of Acceptance;DOI;DOI URL;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN(s);Journal ISSN print;Journal ISSN electronic;journal_issn_l ;Article License;agreement
University of Applied Sciences and Arts Western Switzerland;2024;06.09.2023;10.02.2024;10.1177/00302228241239809;https://doi.org/10.1177/00302228241239809;TRUE;Hybrid;Sage Publications;OMEGA - Journal of Death and Dying;1541-3764;;;;CC BY-NC 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;26.02.2024;22.05.2024;10.1177/15333175241263741;https://doi.org/10.1177/15333175241263741;FALSE;Gold;Sage Publications;American Journal of Alzheimer's Disease & Other Dementias;1938-2731;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;17.11.2023;04.06.2024;10.1177/14713012241264611;https://doi.org/10.1177/14713012241264611;TRUE;Hybrid;Sage Publications;Dementia;1741-2684;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;23.10.2023;12.04.2024;10.1177/10748407241270034;https://doi.org/10.1177/10748407241270034;TRUE;Hybrid;Sage Publications;Journal of Family Nursing;1552-549X;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;26.07.2024;26.07.2024;10.1177/02610183241273582;https://doi.org/10.1177/02610183241273582;TRUE;Hybrid;Sage Publications;Critical Social Policy;1461-703X;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;26.07.2024;26.07.2024;10.1177/02610183241273601;https://doi.org/10.1177/02610183241273601;TRUE;Hybrid;Sage Publications;Critical Social Policy;1461-703X;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;26.07.2024;26.07.2024;10.1177/02610183241273585;https://doi.org/10.1177/02610183241273585;TRUE;Hybrid;Sage Publications;Critical Social Policy;1461-703X;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;26.07.2024;26.07.2024;10.1177/02610183241273693;https://doi.org/10.1177/02610183241273693;TRUE;Hybrid;Sage Publications;Critical Social Policy;1461-703X;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;25.03.2024;06.08.2024;10.1177/10497323241285692;https://doi.org/10.1177/10497323241285692;TRUE;Hybrid;Sage Publications;Qualitative Health Research;1552-7557;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;11.03.2024;22.10.2024;10.1177/20662203241301177;https://doi.org/10.1177/20662203241301177;TRUE;Hybrid;Sage Publications;European Journal of Probation;2066-2203;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;10.05.2024;23.11.2024;10.1177/02557614241306769;https://doi.org/10.1177/02557614241306769;TRUE;Hybrid;Sage Publications;International Journal of Music Education;1744-795X;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;14.04.2023;07.04.2023;10.1177/0094582X241308853;https://doi.org/10.1177/0094582X241308853;TRUE;Hybrid;Sage Publications;Latin American Perspectives;1552-678X;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;04.07.2024;15.12.2024;10.1177/14673584241311294;https://doi.org/10.1177/14673584241311294;TRUE;Hybrid;Sage Publications;Tourism and Hospitality Research;1742-9692;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences of the Grisons;2024;12.12.2023;29.04.2024;10.1177/14738716241255598;https://doi.org/10.1177/14738716241255598;TRUE;Hybrid;Sage Publications;Information Visualization;1473-8724;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;01.10.2023;11.12.2023;10.1177/07487304241226466;https://doi.org/10.1177/07487304241226466;TRUE;Hybrid;Sage Publications;Journal of Biological Rhythms;1552-4531;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;12.07.2023;16.01.2024;10.1177/11786329241229950;https://doi.org/10.1177/11786329241229950;FALSE;Gold;Sage Publications;Health Services Insights;1178-6329;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;25.04.2023;20.12.2023;10.1177/11207000241230282;https://doi.org/10.1177/11207000241230282;TRUE;Hybrid;Sage Publications;HIP International;1724-6067;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;07.07.2023;21.01.2024;10.1177/02637758241231153;https://doi.org/10.1177/02637758241231153;TRUE;Hybrid;Sage Publications;Environment and Planning D;1472-3433;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;01.09.2023;16.01.2024;10.1177/17511437241231705;https://doi.org/10.1177/17511437241231705;TRUE;Hybrid;Sage Publications;Journal of Intensive Care Society;1751-1437;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;13.09.2023;07.01.2024;10.1177/10711007241231221;https://doi.org/10.1177/10711007241231221;TRUE;Hybrid;Sage Publications;Foot & Ankle International;1944-7876;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;31.03.2023;30.01.2024;10.1177/02637758241233901;https://doi.org/10.1177/02637758241233901;TRUE;Hybrid;Sage Publications;Environment and Planning D;1472-3433;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;15.11.2023;10.02.2024;10.1177/09697330241238340;https://doi.org/10.1177/09697330241238340;TRUE;Hybrid;Sage Publications;Nursing Ethics;1477-0989;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;01.09.2023;14.02.2024;10.1177/17562864241239101;https://doi.org/10.1177/17562864241239101;FALSE;Gold;Sage Publications;Therapeutic Advances in Neurological Disorders;1756-2864;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;19.10.2023;01.03.2024;10.1177/08902070241240029;https://doi.org/10.1177/08902070241240029;TRUE;Hybrid;Sage Publications;European Journal of Personality;1099-0984;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;22.09.2023;01.03.2024;10.1177/01461672241240675;https://doi.org/10.1177/01461672241240675;TRUE;Hybrid;Sage Publications;Personality and Social Psychology Bulletin;1552-7433;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;08.12.2023;13.03.2024;10.1177/14614456241242945;https://doi.org/10.1177/14614456241242945;TRUE;Hybrid;Sage Publications;Discourse Studies;1461-7080;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;12.06.2023;13.03.2024;10.1177/19433875241245498;https://doi.org/10.1177/19433875241245498;TRUE;Hybrid;Sage Publications;Craniomaxillofacial Trauma & Reconstruction;1943-3883;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;24.10.2023;22.03.2024;10.1177/26323524241247857;https://doi.org/10.1177/26323524241247857;FALSE;Gold;Sage Publications;Palliative Care & Social Practice;1178-2242;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;18.02.2024;12.04.2024;10.1177/23969873241250212;https://doi.org/10.1177/23969873241250212;TRUE;Hybrid;Sage Publications;European Stroke Journal;2396-9881;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;27.03.2023;11.04.2024;10.1177/09526951241255556;https://doi.org/10.1177/09526951241255556;TRUE;Hybrid;Sage Publications;History of the Human Sciences;1461-720X;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;28.02.2023;25.04.2024;10.1177/08997640241255707;https://doi.org/10.1177/08997640241255707;TRUE;Hybrid;Sage Publications;Nonprofit and Voluntary Sector Quarterly;1552-7395;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;21.02.2024;10.05.2024;10.1177/20417314241257352;https://doi.org/10.1177/20417314241257352;FALSE;Gold;Sage Publications;Journal of Tissue Engineering;2041-7314;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;04.10.2023;14.05.2024;10.1177/20539517241259639;https://doi.org/10.1177/20539517241259639;FALSE;Gold;Sage Publications;Big Data & Society;2053-9517;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;22.04.2024;28.05.2024;10.1177/24705470241261581;https://doi.org/10.1177/24705470241261581;FALSE;Gold;Sage Publications;Chronic Stress;2470-5470;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;26.02.2024;05.06.2024;10.1177/09632719241263700;https://doi.org/10.1177/09632719241263700;TRUE;Hybrid;Sage Publications;Environmental Values;1752-7015;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;09.06.2024;10.06.2024;10.1177/17456916241264259;https://doi.org/10.1177/17456916241264259;TRUE;Hybrid;Sage Publications;Perspectives on Psychological Science;1745-6924;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;23.10.2023;31.05.2024;10.1177/20503121241263305;https://doi.org/10.1177/20503121241263305;FALSE;Gold;Sage Publications;SAGE Open Medicine;2050-3121;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;07.04.2024;07.06.2024;10.1177/02698811241265352;https://doi.org/10.1177/02698811241265352;TRUE;Hybrid;Sage Publications;Journal of Psychopharmacology;1461-7285;;;;CC BY-NC 4.0;Switzerland2023
University of Basel;2024;08.09.2023;24.05.2024;10.1177/09685332241269583;https://doi.org/10.1177/09685332241269583;FALSE;Gold;Sage Publications;Medical Law International;2047-9441;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;23.10.2023;04.06.2024;10.1177/00104140241271210;https://doi.org/10.1177/00104140241271210;TRUE;Hybrid;Sage Publications;Comparative Political Studies;1552-3829;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;21.11.2022;03.03.2023;10.1177/03075133241273454;https://doi.org/10.1177/03075133241273454;TRUE;Hybrid;Sage Publications;Journal of Egyptian Archaeology;0307-5133;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;02.07.2024;03.07.2024;10.1177/17504813241270395;https://doi.org/10.1177/17504813241270395;TRUE;Hybrid;Sage Publications;Discourse & Communication;1750-4821;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;11.10.2023;26.06.2024;10.1177/00220345241271937;https://doi.org/10.1177/00220345241271937;TRUE;Hybrid;Sage Publications;Journal of Dental Research;1544-0591;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;31.05.2024;25.07.2024;10.1177/23969873241272542;https://doi.org/10.1177/23969873241272542;TRUE;Hybrid;Sage Publications;European Stroke Journal;2396-9881;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;10.05.2024;17.07.2024;10.1177/00207640241277161;https://doi.org/10.1177/00207640241277161;TRUE;Hybrid;Sage Publications;International Journal of Social Psychiatry;1741-2854;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;29.05.2024;12.07.2024;10.1177/23969873241274547;https://doi.org/10.1177/23969873241274547;TRUE;Hybrid;Sage Publications;European Stroke Journal;2396-9881;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;29.08.2023;31.07.2024;10.1177/20420986241275255;https://doi.org/10.1177/20420986241275255;FALSE;Gold;Sage Publications;Therapeutic Advances in Drug Safety;2042-0994;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;24.04.2024;11.08.2024;10.1177/09697330241281498;https://doi.org/10.1177/09697330241281498;TRUE;Hybrid;Sage Publications;Nursing Ethics;1477-0989;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;05.03.2024;08.08.2024;10.1177/17562864241277736;https://doi.org/10.1177/17562864241277736;FALSE;Gold;Sage Publications;Therapeutic Advances in Neurological Disorders;1756-2864;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;01.07.2024;19.08.2024;10.1177/20503121241281147;https://doi.org/10.1177/20503121241281147;FALSE;Gold;Sage Publications;SAGE Open Medicine;2050-3121;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;19.06.2024;12.08.2024;10.1177/23969873241286691;https://doi.org/10.1177/23969873241286691;TRUE;Hybrid;Sage Publications;European Stroke Journal;2396-9881;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;20.04.2024;13.09.2024;10.1177/20552076241288757;https://doi.org/10.1177/20552076241288757;FALSE;Gold;Sage Publications;Digital Health;2055-2076;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;28.06.2024;01.10.2024;10.1177/23969873241292278;https://doi.org/10.1177/23969873241292278;TRUE;Hybrid;Sage Publications;European Stroke Journal;2396-9881;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;07.09.2024;21.09.2024;10.1177/21501351241292622;https://doi.org/10.1177/21501351241292622;TRUE;Hybrid;Sage Publications;World Journal for Pediatric and Congenital Heart Surgery;2150-136X;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;07.08.2024;12.09.2024;10.1177/14614456241292723;https://doi.org/10.1177/14614456241292723;TRUE;Hybrid;Sage Publications;Discourse Studies;1461-7080;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;25.08.2023;02.10.2024;10.1177/01461672241292841;https://doi.org/10.1177/01461672241292841;TRUE;Hybrid;Sage Publications;Personality and Social Psychology Bulletin;1552-7433;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;06.07.2023;09.10.2024;10.1177/17455057241294215;https://doi.org/10.1177/17455057241294215;FALSE;Gold;Sage Publications;Women's Health;1745-5065;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;03.08.2024;14.10.2024;10.1177/20503121241296701;https://doi.org/10.1177/20503121241296701;FALSE;Gold;Sage Publications;SAGE Open Medicine;2050-3121;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;13.10.2023;19.10.2024;10.1177/01461672241297824;https://doi.org/10.1177/01461672241297824;TRUE;Hybrid;Sage Publications;Personality and Social Psychology Bulletin;1552-7433;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;16.08.2024;23.10.2024;10.1177/15910199241299471;https://doi.org/10.1177/15910199241299471;TRUE;Hybrid;Sage Publications;Interventional Neuroradiology;2385-2011;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;12.07.2024;24.10.2024;10.1177/20420986241300006;https://doi.org/10.1177/20420986241300006;FALSE;Gold;Sage Publications;Therapeutic Advances in Drug Safety;2042-0994;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;21.12.2023;31.10.2024;10.1177/08997640241300509;https://doi.org/10.1177/08997640241300509;TRUE;Hybrid;Sage Publications;Nonprofit and Voluntary Sector Quarterly;1552-7395;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;29.08.2024;01.11.2024;10.1177/87564793241303167;https://doi.org/10.1177/87564793241303167;TRUE;Hybrid;Sage Publications;Journal of Diagnostic Medical Sonography;1552-5430;;;;CC BY 4.0;Switzerland2023
