"period","Institution - Abbrv","institution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","euro"
2015,"FHI","Norwegian Institute of Public Health","No increase in new users of blood glucose-lowering drugs in Norway 2006-2011: a nationwide prescription database study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-520",1496.89
2015,"FHI","Norwegian Institute of Public Health","Implications of screening and childcare exclusion policies for children with Shiga-Toxin producing Escherichia coli infections: Lessons learned from an outbreak in a daycare centre, Norway, 2012","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-014-0673-2",1537.51
2015,"FHI","Norwegian Institute of Public Health","AhR and Arnt differentially regulate NF-kB signaling and chemokine responses in human bronchial epithelial cells","Cell communication and signaling : CCS","1478-811X",1,"10.1186/s12964-014-0048-8",1612.93
2015,"FHI","Norwegian Institute of Public Health","Associations of pre-pregnancy body mass index and gestational weight gain with pregnancy outcome and postpartum weight retention: a prospective observational cohort study","BMC pregnancy and childbirth","1471-2393",1,"10.1186/1471-2393-14-201",1537.51
2015,"FHI","Norwegian Institute of Public Health","Bias in the study of prediction of change: a Monte Carlo simulation study of the effects of selective attrition and inappropriate modeling of regression toward the mean.","BMC Medical Research Methodology","1471-2288",1,"10.1186/1471-2288-14-133",1306.99
2015,"FHI","Norwegian Institute of Public Health","Long shadows: a prospective study of predictors of relationship dissolution over 17 child-rearing years","BMC Psychology","2050-7283",1,"10.1186/s40359-014-0040-5",1306.99
2015,"FHI","Norwegian Institute of Public Health","Trends in educational inequalities in cause specific mortality in Norway from 1960 to 2010. A turning point for educational inequalities in cause specific mortality of Norwegian men after the millennium?","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-1208",1537.51
2015,"FHI","Norwegian Institute of Public Health","Evaluation of four ESBLscreening media on their ability to detect ESBL-producing Salmonella and Shigella","BMC Microbiology","1471-2180",1,"10.1186/s12866-014-0217-3",1306.99
2015,"FHI","Norwegian Institute of Public Health","Long-term storage of blood RNA collected in RNA stabilizing Tempus tubes in a large biobank - evaluation of RNA quality and stability.","BMC research notes","1756-0500",1,"10.1186/1756-0500-7-633",739.66
2015,"FHI","Norwegian Institute of Public Health","Underuse of medication for circulatory disorders among unmarried women and men in Norway?","BMC pharmacology & toxicology","2050-6511",1,"10.1186/2050-6511-15-65",1306.99
2015,"FHI","Norwegian Institute of Public Health","Are the Norwegian health research investments in line with the disease burden?","Health research policy and systems","1478-4505",1,"10.1186/1478-4505-12-64",1346.27
2015,"FHI","Norwegian Institute of Public Health","Evolution of extensively drug resistant Mycobacterium tuberculosis from a susceptible ancestor in a single patient","Genome Biology","1474-760x",1,"10.1186/s13059-014-0490-3",1323.78
2015,"FHI","Norwegian Institute of Public Health","Compliance of mothers following recommendations to breastfeed or withhold breast milk during rotavirus vaccination in North India: a randomized clinical trial.","Trials","1745-6215",1,"10.1186/1745-6215-15-256",1293.79
2015,"FHI","Norwegian Institute of Public Health","Time to first consultation, diagnosis and treatment of TB among patients attending a referral hospital in Bahir Dar, Ethiopia","BMC Infectious Diseases","1471-2334",1,"10.1186/1471-2334-14-19",1496.89
2015,"FHI","Norwegian Institute of Public Health","Mixed impact of firearms restrictions on fatal firearm injuries in males: A national observational study","International Journal of Environmental Research and Public Health","1660-4601",1,"10.3390/ijerph110100487",1133.32
2015,"FHI","Norwegian Institute of Public Health","Can insomnia in pregnancy predict postpartum depression? A longitudinal, population-based study","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0094674",901.91
2015,"FHI","Norwegian Institute of Public Health","The developmental relationship between language and motor performance from 3 to 5 years of age: a prospective longitudinal population study","BMC Psychology","2050-7283",1,"10.1186/s40359-014-0034-3",1347.28
2015,"FHI","Norwegian Institute of Public Health","Differential NF-κB and MAPK activation underlies fluoride- and TPA-mediated CXCL 8 (IL-8) induction in lung epithelial cells","Journal of Inflammation Research","1178-7031",1,"10.2147/JIR.S69646",1271.86
2015,"FHI","Norwegian Institute of Public Health","High throughput sample processing and automated scoring.","Frontiers in Genetics","1664-8021",1,"10.3389/fgene.2014.00373",912.88
2015,"FHI","Norwegian Institute of Public Health","Can exposure to environmental chemicals increase the risk of diabetes type 1 development","BioMed Research International","2314-6133",1,"10.1155/2015/208947",1303.75
2015,"FNI","Fridtjof Nansen Institute","Seasonal-­‐to-­‐decadalnopredictions with the ensembleor","Tellus Series A","1600-0870",2,"http://dx.doi.org/10.3402/tellusa.v66.21074 ",1167.21
2015,"FNI","Fridtjof Nansen Institute","Global climate models' bias in surface temperatu ","Environmental Resear ","1748-9326",1,"10.1088/1748-9326/9/11/114024",1446.07
2015,"FNI","Fridtjof Nansen Institute","The impact of snow depth, snow density and ice density on sea ice thickness retrieval from satellite radar al>metry: results from the ESA-­‐ nCCIeSea Ice ECV Project Round Robin Exercise","The Cryosphere","1725­1740",2,"10.5194/tc-9-37-2015",1438.59
2015,"FNI","Fridtjof Nansen Institute","Northern Hemisphere storminess in the Norwegi anD","GeoscientificemModelde","1991-9603",2,"10.5194/gmdd-7-8975-2014",1010.1
2016,"GenØk","GenØk - Centre for Biosafety","Seeing GMOs from a Systems Perspective: The Need for Comparative Cartographies of Agri/Cultures for Sustainability Assessment","Sustainability ","2071-1050",1,"10.3390/su70811321",1108.56
"","","","","","","","",""
2016,"GenØk","GenØk - Centre for Biosafety","The Séralini affair: the rise of Re-Science?","Environmental Sciences Europe ","2190-4715",1,"10.1186/s12302-015-0049-2 ",969.08
2016,"GenØk","GenØk - Centre for Biosafety","Glyphosate-residues in Roundup-ready soybean impair D. magna life-cycle","Journal of Agricultural Chemistry and Environment ","2325-744X",0,"10.4236/jacen.2015.41003 ",400.32
2015,"Genøk","GenØk - Centre for Biosafety","?","Food Chemistry","0308-8146",1,"10.1016/j.foodchem.2013.12.054",1562.57
2015,"Genøk","GenØk - Centre for Biosafety","?","PLOS One","1932-6203",1,"10.1371/journal.pone.0116147",1167.24
2015,"Genøk","GenØk - Centre for Biosafety","?","Science and Engineering Ethics","1353-3452",1,"10.1007/s11948-014-9602-4",2087.24
2015,"Genøk","GenØk - Centre for Biosafety","?","Virology Journal","1743-422X",1,"10.1186/1743-422X-11-119",1649.8
2016,"Havforsk","Institute of Marine Research","The vgll3 Locus Controls Age at Maturity in Wild and Domesticated Atlantic Salmon(Salmo salar L.) Males","PLoS Genetics","1553-7390",2,"10.1371/journal.pgen.1005628",1999.33
2016,"Havforsk","Institute of Marine Research","Unexpected interaction with dispersed crude oil droplets drives severe toxicity in atlantic haddock embryos","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0124376",1496.42
2016,"Havforsk","Institute of Marine Research","The frequency of spontaneous triploidy in farmed_x000D_Atlantic salmon produced in Norway during the_x000D_period 2007–2014","BMC Genetics","1471-2156",1,"10.1186/s12863-015-0193-0",2129.23
2016,"Havforsk","Institute of Marine Research","Use of fatty acid profiles to monitor the escape history of farmed Atlantic salmon","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00132",1279.44
2016,"Havforsk","Institute of Marine Research","The principles of buoyancy in marine fish eggs and their vertical distributions across the world oceans","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0138821",1220.02
2016,"Havforsk","Institute of Marine Research","A review of the battle for food in the Barents Sea: cod vs. marine mammals","Frontiers in Ecology and Evolution","2296-701X",1,"10.3389/fevo.2015.00029",1113.01
2016,"Havforsk","Institute of Marine Research","Investigating Population Genetic Structure in a Highly Mobile Marine Organism: The Minke Whale Balaenoptera acutorostrata acutorostrata in the North East Atlantic","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0108640",1527.01
2016,"Havforsk","Institute of Marine Research","Recent changes in distribution and relative abundance of cetaceans in the Norwegian Sea and their relationship with potential prey","Frontiers in Ecology and Evolution","2296-701X",1,"10.3389/fevo.2014.00083",1088.65
2016,"Havforsk","Institute of Marine Research","Latitudinal Gradient in Otolith Shape among Local Populations of Atlantic Herring (Clupea harengus L.) in Norway","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0130847",1412.15
2016,"Havforsk","Institute of Marine Research","Atlantic salmon Salmo salar instantaneously follow vertical light movements in sea cages","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00136",966.24
2016,"Havforsk","Institute of Marine Research","Effect of temperature on the metabolism, behaviour and oxygen requirements of Sparus aurata","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00141",1396.09
2016,"Havforsk","Institute of Marine Research","Fast water currents reduce production performance of post-smolt Atlantic salmon Salmo salar","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00143",1375.58
2016,"Havforsk","Institute of Marine Research","Characteristics of the Norwegian Coastal Current during Years with High Recruitment of Norwegian Spring Spawning Herring (Clupea harengus L.)","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0144117",1574.9
2016,"Havforsk","Institute of Marine Research","Size dependent male reproductive tactic in the two-spotted goby (Gobiusculus flavescens)","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0143487",1574.9
2016,"Hbv - Hsn","University College of Southeast Norway","Maternal Health Coping Strategies of Migrant Women in Norway","Nursing research and practice","2090-1429",1,"10.1155/2015/878040",741.3
2016,"Hbv - Hsn","University College of Southeast Norway","Students' evaluation of a computerized patient simulator in nursing education and its effect on the results of preclinical tests","Journal of Nursing Education and Practice","1925-4040",1,"10.5430/jnep.v5n7p1",269.25
2016,"Hbv - Hsn","University College of Southeast Norway","The Influence of Clinical Supervision and its Potential for Enchanging Patient Safety - Undergraduate Nursing Students' views","Journal of Nursing Education and Practice","1925-4040",1,"10.5430/jnep.v5n6p87",301.56
2016,"Hbv - Hsn","University College of Southeast Norway","Depressed Older Patients' Need for and Expectations of Improved Health Services - An evaluative approach to the Chronic Care Model (CCM)","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.54041",893.86
2016,"Hbv - Hsn","University College of Southeast Norway","A Variable Depth Search Algorithm for Binary Constraint Satisfaction Problems","Mathematical problems in engineering ","1563-5147",1,"10.1155/2015/637809",1799.57
2016,"Hbv - Hsn","University College of Southeast Norway","Evaluating Improvement in the Care of Depressed Elderly Patients: An Empirical Approach to the WHO Patient Safety Model","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.55043",907.34
2016,"Hbv - Hsn","University College of Southeast Norway","Patient's role in their own safety - a systematic review of patient involvement in safety","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.57068",901.92
2016,"Hbv - Hsn","University College of Southeast Norway","Evaluation nursing students' views of improved competence development after clinical supervision: An educative approach to the WHO Patient Safety Model","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.58075",914.94
2016,"Hbv - Hsn","University College of Southeast Norway","Social media and management fashions","Cogent Business & Management","2331-1975",1,"10.1080/23311975.2015.1122256",701.92
2016,"Hbv - Hsn","University College of Southeast Norway","Introduction to Non Commutative Algebraic Geometry","Journal of Physical Mathematics","2090-0902",1,"10.4172/2090-0902.1000133",483.57
2016,"Hbv - Hsn","University College of Southeast Norway","Physical Interpretation of Noncommutative Algebraic Varieties","Journal of Physical Mathematics","2090-0902",1,"10.4172/2090-0902.1000132",483.57
2016,"Hbv - Hsn","University College of Southeast Norway","Patient Safety, Adverse Healthcare Events and Near-Misses in Obstetric Care – A Systematic Literature Review","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.512118",977.49
2016,"HiB","Bergen University College","Loneliness, loss and social support among cognitively intact older people with cancer living in nursing homes ? a mixed-methods study","Clinical Intervention in Ageing","1178-1998",1,"10.2147/CIA.S88404",1784.73
2016,"HiB","Bergen University College","Calculation of first-law and second-law-efficiency of a Norwegian combined heat and power facility driven by municipal waste incineration - a case study","Energy Conversion and Management","1879-2227",2,"doi:10.1016/j.enconman.2015.02.026",502.6
2016,"HiB","Bergen University College","Learning transitions - a descriptive study of nurses' experiences during advanced level nursing education ","BMC Nursing","1472-6955",1,"10.1186/s12912-015-0080-z",1674.72
2016,"HiB","Bergen University College","Impact of a Multifaceted and Clinically Integrated Training Program in Evidence-Based Practice on Knowledge, Skills, Beliefs and Behaviour among Clinical Instructors in Physiotherapy: A Non-Randomized Controlled Study ","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0124332",1166.71
2016,"HiB","Bergen University College","Assessing fear of hypoglycemia in a population-based study among parents of children with type 1 diabetes - psychometric properties of the Hypoglycemia Fear Survey - Parent version","BMC Endocrin Disorders","1472-6823",1,"10.1186/1472-6823-15-2",1713.37
2016,"HiB","Bergen University College","Marital Quality and Stress in Pregnancy Predict the Risk of Infectious Disease in the Offspring: The Norwegian Mother and Child Cohort Study","Plos One","1932-6203",1,"10.1371/journal.pone.0137304",1230.25
2016,"HiB","Bergen University College","The Views of 5-12 Grade Pupils and Teachers on Cyberbullying Prevention in Lithuanian Schools","Universal Journal of Educational Research","2332-3213",1,"10.13189/ujer.2015.031201",183.73
2016,"HiB","Bergen University College","Study protocol for a multicenter investigation of reablement in Norway","BMC Geriatrics","1471-2318",1,"10.1186/s12877-015-0108-y",1920.4
2016,"HiB","Bergen University College","Reablement in community-dwelling older adults: A randomised controlled trial","BMC Geriatrics","1471-2318",1,"10.1186/s12877-015-0142-9",1989.84
2016,"HiB","Bergen University College","Involving people with diabetes and the wider community in diabetes research: a realist review protocol","BMC Systematic Reviews","2046-4053",1,"10.1186/s13643-015-0127-y",2120.37
2015,"HiB","Bergen University College","Reablement in community-dwelling adults. A study protocol for a randomized controlled trial","BMC Geriatrics","1471-2318",1,"doi:10.1186/1471-2318-14-139 ",1753.47
2015,"HiB","Bergen University College","Effect of telemedicine follow up care of leg and foot ulcers","BMC Health Se","1472-6963",2,"doi:10.1186/s12913-014-0565-6 ",1529.11
2015,"HiB","Bergen University College","Assessment of quality in psychiatric nursing documentation","BioMed Centra","1472-6955",1,"doi:10.1186/1472-6955-13-32 ",1783.27
2015,"HiB","Bergen University College","Relationship Satisfaction Reduces the Risk of Maternal Infectious Diseases in Pregnancy: the Norw","Plos One ","1932-6203",1,"10.1371/journal.pone.0116796 ",1134.5
2016,"HiH","Harstad University College","Patients’ perceptions of palliative care: adaptation of the Quality from the Patient’s Perspective instrument for use in palliative care, and description of patients’ perceptions of care received","BMC Palliative Care","1472-684X",1,"10.1186/s12904-015-0049-4",1938.3
2016,"HiH","Harstad University College","Opioid dependency rehabilitation with the opioid maintenance treatment programme - a qualitative study from the clients’ perspective","Substance Abuse Treatment, Prevention, and Policy","1747-597X",1,"10.1186/s13011-015-0031-4",85.62
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
2016,"HiMo","Molde University College","Econometric modelling of the variations of Norway’s export trade across continents and over time : the two stage non-full rank hierarchical linear econometric model approach","Economics Research International","2090-2123",1,"10.1155/2015/791805",900.22
2016,"HiMo","Molde University College","Service users’ experiences and views of aggressive situations in mental health care: a systematic review and thematic synthesis of qualitative studies","Journal of Multidisciplinary Healthcare ","1178-2390",1,"10.2147/JMDH.S89486",391.96
2016,"HiMo","Molde University College","A mixed integer linear programming model applied in barge planning for Omya","Operations Research Perspectives","2214-7160",1,"10.1016/j.orp.2015.07.002",584.12
"","","","","","","","",""
2016,"HiOA","Oslo and Akershus university college","A cross-sectional study of Health Related Quality of  Life and body mass index in a Norwegian school sample (8-18 years): a comparison of child and parent perspectives","Health and Quality of Life Outcomes","1477-7525",1,"10.1186/s12955-015-0239-z",2237.97
2016,"HiOA","Oslo and Akershus university college","Resilience in young people living with violence and self-harm: evidence from a Norwegian national youth survey ","Psychology Research and Behavior Management","1179-1578",1," http://dx.doi.org/10.2147/PRBM.S75382",1266.26
"","","","","","","","",""
