ID,Title,Type,Language,PrimarySubject,Status,PublisherName,PublisherIdentifier,PublicationPlace,LicenseAgreement,Binding,RoundName,EUR Price,UnlatchingDate,LicenseURL,PublicationDate,IsbnHardback,IsbnPaperback,IsbnEpdf,IsbnEpub,Doi
2220,Alternative Pathways to Complexity,book,en,Archaeology,unlatched,University Press of Colorado,,"Boulder, CO",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-18,"cc-by-nc-nd,",2016-12-15,9781607325321,,9781607325338,,
2537,Ancient Greek Myth in World Fiction since 1989,book,en,Classics,unlatched,Bloomsbury Academic,,London,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by,",2016-06-02,9781472579379,,9781472579409,9781472579393,
2126,"""And he knew our language""",book,en,Linguistics,unlatched,John Benjamins Publishing Company,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2011-04-21,9789027246073,,9789027286833,,10.1075/sihols.116
2362,An Economic History of Cambodia in the Twentieth Century,book,en,Economics,unlatched,NUS Press,,Singapore,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-01-13,"cc-by-nc-nd,",2010-01-01,,9789971694999,9789971697198,,
2355,Asianisms,book,en,Political Science,unlatched,NUS Press,,Singapore,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-01-13,"cc-by-nc-nd,",2015-10-30,,9789971698591,9789814722711,,
2278,A Small Nation in the Turmoil of the Second World War,book,en,History,unlatched,Leuven University Press,,"Leuven, Belgium",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-02,"cc-by-nc,",2009-08-05,9789058677594,,,,10.11116/SNTSWW
2871,A State of Peace in Europe,book,en,History,unlatched,Berghahn Books,,USA,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-05-08,"cc-by-nc-nd,",2011-12-01,9780857452931,,9781789201079,9781789201079,
1869,Banksy,book,en,Arts,unlatched,Tectum Wissenschaftsverlag,,Baden-Baden,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-12-05,"cc-by-nc-nd,",2016-01-01,,9783828835412,9783828863576,,
2765,Beyond NATO,book,en,Political Science,unlatched,Brookings Institution Press,,"Washington, DC",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by-nc-nd,",2017-08-15,,9780815732570,9780815732587,9780815732587,
1889,Beyond the state,book,en,History,unlatched,Manchester University Press,,Manchester,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-05,"cc-by-nc-nd,",2015-12-01,9780719089671,,,,
2538,Biblical Terror,book,en,Theology & Religion,unlatched,Bloomsbury Academic,,London,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by,",2016-12-01,9780567670816,,9780567670823,9780567670830,
2252,Bilingual Europe,book,en,History,unlatched,Brill,,Leiden,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-08-08,"cc-by-nc,",2015-03-13,9789004289628,,9789004289635,,10.1163/9789004289635
1865,Bismarck's Institutions,book,en,Economics,unlatched,Mohr Siebeck,,Tübingen,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-01-11,"cc-by-nc-nd,",2013-01-01,,9783161522727,9783161524974,,
1955,Bonded Labour,book,en,History,unlatched,transcript Verlag,,"Bielefeld, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-19,"cc-by-nc-nd,",2016-11-15,,9783837637335,9783839437339,,http://dx.doi.org/10.14361/9783839437339
2294,Breaking Intergenerational Cycles of Repetition,book,en,Psychology,unlatched,Verlag Barbara Budrich,,"Leverkusen-Opladen, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-07,"cc-by-sa,",2016-01-18,9783847406136,,9783847402404,,10.3224/84740613
1931,Bringing up the Young with Global Values,book,en,Sociology,unlatched,Ergon,,Baden-Baden,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2015-01-01,,9783956500916,,,
2424,Building Europe,book,en,History,unlatched,De Gruyter Oldenbourg,,"Berlin, Boston",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-04-25,"cc-by-nc-nd,",2015-08-14,9783110427776,,9783110424812,9783110424881,
2012,Bytes and Backbeats,book,en,Music,unlatched,University of Michigan Press,,Ann Arbor,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-07,"cc-by-nc-nd,",2011-09-26,9780472117857,,9780472901180,9780472901180,10.3998/mpub.3432847
3073,Capitalism without Conscience,book,en,Management & Business,unlatched,Peter Lang International Academic Publishers,,Brussels,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-05,"cc-by,",2014-04-14,,9782875740724,9783035263169,,10.3726/978-3-0352-6316-9
2752,Carnival Texts,book,en,Arts,unlatched,Intellect,,Bristol,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-16,"cc-by-nc-nd,",2011-04-01,,9781841504162,9781841505008,,
2808,Cast Out,book,en,Political Science,unlatched,Ohio University Press,,"Athens, Ohio",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2008-11-29,,9780896802629,,,
2102,Chinese Circulations,book,en,History,unlatched,Duke University Press,,"Durham, NC",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"arr,",2011-04-08,9780822348818,,9780822393573,,
2650,Cicero's Law,book,en,Classics,unlatched,Edinburgh University Press,,Edinburgh,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-25,"cc-by-nc,",2016-09-21,9781474408820,,,,
2539,Civil Uprisings in Modern Sudan,book,en,History,unlatched,Bloomsbury Academic,,London,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by,",2015-01-29,9781472574015,,9781472574022,9781472574039,
2937,Climate change and poverty,book,en,Political Science,unlatched,Policy Press,,Bristol,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-05-04,"cc-by-nc,",2014-09-05,9781447300878,,9781447354758,,
2129,"Cognition, Language and Aging",book,en,Linguistics,unlatched,John Benjamins Publishing Company,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2016-03-16,9789027212320,,9789027267313,,10.1075/z.200
2571,Colonial Australian Fiction,book,en,Literature,unlatched,Sydney University Press,,Sydney,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-11,"cc-by-nc-nd,",2017-04-07,,9781743324615,9781743325209,9781743324622,
2941,Communicative capacity,book,en,Media & Communications,unlatched,Policy Press,,Bristol,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-05-04,"cc-by-nc,",2015-07-29,9781447318507,,,,
2087,Conflicted Antiquities,book,en,History,unlatched,Duke University Press,,"Durham, NC",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"arr,",2007-01-01,9780822339755,,9780822390398,,
1959,Congoism,book,en,History,unlatched,transcript Verlag,,"Bielefeld, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-27,"cc-by-nc-nd,",2017-10-15,,9783837640373,9783839440377,,http://dx.doi.org/10.14361/9783839440377
2610,Contemporary Irish Women Poets,book,en,Literature,unlatched,Liverpool University Press,,Liverpool,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-23,"cc-by-nc-nd,",2015-09-14,9781781381878,,9781781384695,,
1941,Creative Networks and the City,book,en,Sociology,unlatched,transcript Verlag,,"Bielefeld, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-27,"cc-by-nc-nd,",2010-06-15,,9783837613742,9783839413746,,http://dx.doi.org/10.14361/transcript.9783839413746
2097,Creativity and its Discontents ,book,en,Media & Communications,unlatched,Duke University Press,,"Durham, NC",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"arr,",2012-01-06,9780822350651,,9780822394587,,
2793,Culture and Money in the Nineteenth Century,book,en,Literature,unlatched,Ohio University Press,,"Athens, Ohio",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2016-03-03,9780821421963,,9780821445471,,
2556,"Darwin, Tennyson and Their Readers",book,en,Literature,unlatched,Anthem Press,,"London, UK",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-26,"cc-by-nd,",2013-09-15,9780857280763,,,,
2388,Democracy under stress,book,en,Political Science,unlatched,Verlag Barbara Budrich,,"Leverkusen-Opladen, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-07,"cc-by-sa,",2011-11-29,,9783866494534,9783866495807,,10.3224/86649453
2124,"Developing, Modelling and Assessing Second Languages",book,en,Linguistics,unlatched,John Benjamins Publishing Company,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2016-06-29,9789027203052,,9789027267191,,10.1075/palart.5
2878,Diamonds and War,book,en,History,unlatched,Berghahn Books,,USA,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-05-08,"cc-by-nc-nd,",2010-04-01,9781845456337,,9781789201178,,
2976,Dilemmas of Adulthood,book,en,Sociology,unlatched,University of Hawai'i Press,,"Honolulu, HI",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-06,"cc-by-nc-nd,",2013-10-31,9780824836962,,,,
2231,Dionysos in Classical Athens,book,en,Classics,unlatched,Brill,,Leiden,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-08-08,"cc-by-nc,",2014-11-14,9789004270121,,9789004270121,,10.1163/9789004270121
2602,Disabled Bodies in Early Modern Spanish Literature,book,en,Literature,unlatched,Liverpool University Press,,Liverpool,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-23,"cc-by-nc-nd,",2017-12-31,9781786940780,,9781786948441,,
2034,Discovering Addiction,book,en,Political Science,unlatched,University of Michigan Press,,Ann Arbor,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-07,"cc-by-nc-nd,",2007-11-03,9780472116102,,9780472901159,9780472901159,10.3998/mpub.269246
2540,Documenting Racism,book,en,Media & Communications,unlatched,Bloomsbury Academic,,New York,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by,",2012-04-19,9780826405555,,9781441172938,,
2235,Documents and the History of the Early Islamic World,book,en,History,unlatched,Brill,,Leiden,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-08-08,"cc-by-nc,",2014-11-28,9789004249592,,9789004284340,,10.1163/9789004284340
1944,Doing Anthropology in Wartime and War Zones,book,en,History,unlatched,transcript Verlag,,"Bielefeld, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-27,"cc-by-nc-nd,",2010-10-15,,9783837614220,9783839414224,,http://dx.doi.org/10.14361/transcript.9783839414224
2906,Dostoevsky beyond Dostoevsky,book,en,Literature,unlatched,Academic Studies Press,,"Boston, MA",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-13,"cc-by-nc,",2016-09-15,9781618115263,,9781644690291,,
2795,Drawing on the Victorians,book,en,Literature,unlatched,Ohio University Press,,"Athens, Ohio",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2015-12-15,9780821422472,,9780821445877,,
2549,Dylan's Autobiography of a Vocation,book,en,Literature,unlatched,Bloomsbury Academic,,New York,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by,",2017-10-19,9781501328527,,9781501328541,9781501328534,
2596,Édith Piaf,book,en,History,unlatched,Liverpool University Press,,Liverpool,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-23,"cc-by-nc-nd,",2015-10-28,9781781382578,,781781384251,,
2281,Electronic Democracy,book,en,Political Science,unlatched,Verlag Barbara Budrich,,"Leverkusen-Opladen, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-07,"cc-by-sa,",2012-06-27,,9783847400189,9783866495463,,10.3224/84740018
2542,Emotional Excess on the Shakespearean Stage,book,en,Literature,unlatched,Bloomsbury Academic,,London,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by,",2013-01-07,9781408179680,,9781408179666,,
2411,Enhancing Autonomy in Language Education,book,en,Linguistics,unlatched,De Gruyter Mouton,,"Berlin, Boston",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-04-25,"cc-by-nc-nd,",2015-03-30,9781614511960,,9781614511359,9781501501081,
2262,Essays on Plato’s Epistemology,book,en,Philosophy,unlatched,Leuven University Press,,"Leuven, Belgium",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-02,"cc-by-nc,",2016-03-21,9789462700598,,,,10.11116/EPE_AMP
3077,European Union Foreign Policy and the Global Climate Regime,book,en,Political Science,unlatched,Peter Lang International Academic Publishers,,Brussels,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-02-01,"cc-by,",2014-04-29,,9782875741349,9783035264098,,10.3726/978-3-0352-6409-8
2089,Europe (in theory),book,en,Philosophy,unlatched,Duke University Press,,"Durham, NC",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"arr,",2007-01-01,9780822339052,,9780822389620,,
1917,Europe under Pressure,book,en,Political Science,unlatched,Tectum Wissenschaftsverlag,,Baden-Baden,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-12-05,"cc-by-nc-nd,",2017-10-23,9783828839717,,9783828866881,9783828866898,
3069,"Euroscepticism, Europhobia and Eurocriticism",book,en,Political Science,unlatched,Peter Lang International Academic Publishers,,Brussels,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-02-01,"cc-by,",2013-11-04,9782875740410,9782875740410,9783035263473,,10.3726/978-3-0352-6347-3
2651,Fallgirls,book,en,Sociology,unlatched,Taylor & Francis,,"Abingdon, UK",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by-nc-nd,",2012-02-28,9781409429692,,,,
2574,Fanfiction and the Author,book,en,Media & Communications,unlatched,Amsterdam University Press,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2017-01-08,9789089649959,,,,
2296,Fathers in Work Organizations,book,en,Sociology,unlatched,Verlag Barbara Budrich,,"Leverkusen-Opladen, Germany",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-07,"cc-by-sa,",2017-04-24,,9783847407034,9783847408499,,10.3224/84740703
2393,Foods of Association,book,en,Anthropology,unlatched,University of Arizona Press,,"Tucson, AZ",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2009-09-15,9780816527779,,,9780816539321,10.2458/azu_uapress_9780816539321
2628,Forbidden Memories,book,en,History,unlatched,Monash University Publishing,,"Melbourne, Australia",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-19,"cc-by-nc-nd,",2015-10-01,,9781922235909,9781925523843,,
2751,Freaks of History,book,en,Arts,unlatched,Intellect,,Bristol,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-18,"cc-by-nc-nd,",2017-04-11,,9781783207350,9781783207374,9781783207367,
3154,From Hospitality to Grace,book,en,Anthropology,unlatched,HAU Books,,"Chicago, IL",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-01-09,"cc-by-nc-nd,",2017-11-01,,9780986132520,,,
2285,“Frozen conflicts” in Europe,book,en,Political Science,unlatched,Verlag Barbara Budrich,,"Leverkusen-Opladen, Germany",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-07,"cc-by-sa,",2015-11-16,9783847401339,,9783847404286,,10.3224/84740133
2274,Gender and Christianity in Modern Europe,book,en,Theology & Religion,unlatched,Leuven University Press,,"Leuven, Belgium",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-02-02,"cc-by-nc,",2012-07-13,,9789058679123,,,10.11116/GCME_KAD
2299,Gender and Politics,book,en,Political Science,unlatched,Verlag Barbara Budrich,,"Leverkusen-Opladen, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-07,"cc-by-sa,",2012-07-10,,9783866491045,9783866495258,,10.3224/86649104
3074,Globalisation vs Europeanisation,book,en,Philosophy,unlatched,Peter Lang International Academic Publishers,,Brussels,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-02-01,"cc-by,",2013-10-02,,9782875740809,9783035263312,,10.3726/978-3-0352-6331-2
2249,Globalization and “Minority” Cultures,book,en,Political Science,unlatched,Brill,,Leiden,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-08-08,"cc-by-nc,",2014-11-14,9789004282087,,9789004282087,,10.1163/9789004282087
2091,Governing Gaza,book,en,Anthropology,unlatched,Duke University Press,,"Durham, NC",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"arr,",2007-01-01,9780822342229,,9780822389132,,
2188,Gramsci on Tahrir,book,en,Political Science,unlatched,Pluto Press,,London,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-19,"cc-by-nc-nd,",2016-01-20,9780745335582,,9781783713455,9781783713462,
2030,Greening China,book,en,Political Science,unlatched,University of Michigan Press,,Ann Arbor,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-07,"cc-by-nc-nd,",2011-08-10,9780472117680,,9780472901197,9780472901197,10.3998/mpub.2099075
2608,Hard Reading,book,en,Literature,unlatched,Liverpool University Press,,Liverpool,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-23,"cc-by-nc-nd,",2016-02-23,9781781382615,,9781781384398,,
1868,"""Harry - yer a wizard""",book,en,Literature,unlatched,Tectum Wissenschaftsverlag,,Baden-Baden,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-12-05,"cc-by-nc-nd,",2017-12-04,,9783828840355,9783828867512,9783828867529,
2657,Hate Speech Law,book,en,Philosophy,unlatched,Taylor & Francis,,"Abingdon, UK",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-10,"cc-by-nc-nd,",2015-03-18,9780415885478,,9781315714899,,
1940,Historicizing the Uses of the Past,book,en,Sociology,unlatched,transcript Verlag,,"Bielefeld, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-27,"cc-by-nc-nd,",2011-05-15,,9783837613254,9783839413258,,http://dx.doi.org/10.14361/transcript.9783839413258
2586,"Homer, Troy and the Turks",book,en,History,unlatched,Amsterdam University Press,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2017-10-16,9789462982697,,,,
2630,How the Computer went to School,book,en,Information Science,unlatched,Monash University Publishing,,"Melbourne, Australia",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-15,"cc-by-nc-nd,",2014-09-01,,9781922235169,9781925523850,,
1876,Human Rights and Natural Law,book,en,Philosophy,unlatched,Academia,,Baden-Baden,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2012-01-01,,9783896655677,,,
1952,Humour and Laughter in History,book,en,History,unlatched,transcript Verlag,,"Bielefeld, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-27,"cc-by-nc-nd,",2014-10-15,,9783837628586,9783839428580,,http://dx.doi.org/10.14361/transcript.9783839428580
1920,Images of Women in 20th-Century American Literature and Culture,book,en,Arts,unlatched,Tectum Wissenschaftsverlag,,Baden-Baden,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-12-05,"cc-by-nc-nd,",2015-01-01,,9783828836808,9783828864900,,
1957,Imagining Earth,book,en,Sociology,unlatched,transcript Verlag,,"Bielefeld, Germany",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-27,"cc-by-nc-nd,",2017-07-15,,9783837639568,9783839439562,,http://dx.doi.org/10.14361/9783839439562
2014,In Defense of Monopoly,book,en,Economics,unlatched,University of Michigan Press,,Ann Arbor,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-26,"cc-by-nc-nd,",2008-02-04,9780472116157,,9780472901142,9780472901142,10.3998/mpub.93419
2187,Information Politics,book,en,Sociology,unlatched,Pluto Press,,London,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-19,"cc-by-nc-nd,",2015-02-20,9780745333670,,9781783712960,9781783712977,
2356,Islam and Politics in Indonesia,book,en,History,unlatched,NUS Press,,Singapore,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-01-13,"cc-by-nc-nd,",2015-08-31,,9789971698430,9789814722568,,
2359,Islamisation and Its Opponents in Java,book,en,History,unlatched,NUS Press,,Singapore,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-01-13,"cc-by-nc-nd,",2012-07-01,,9789971696313,9789971696597,,
2543,Israel and Empire,book,en,Theology & Religion,unlatched,Bloomsbury Academic,,London,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by,",2015-01-01,9780567054098,,780567280510,,
2099,Jacques Rancière,book,en,Philosophy,unlatched,Duke University Press,,"Durham, NC",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"arr,",2009-08-03,9780822344933,,9780822390930,,
2997,Japanese Reflections on World War II and the American Occupation,book,en,History,unlatched,Amsterdam University Press,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2007-01-01,9789462982598,,,,
2178,Jihadism,book,en,Theology & Religion,unlatched,V&R unipress GmbH,,Göttingen,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-08-08,"cc-by-nc-nd,",2013-01-16,,9783847100683,9783737000680,,10.14220/9783737000680
2830,Kafka and Wittgenstein,book,en,Literature,unlatched,Northwestern University Press,,"Evanston, Illinois",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-08-07,"cc-by-nc-nd,",2015-11-15,9780810131460,9780810131842,9780810131507,,
1873,Key Concepts in Philosophy,book,en,Philosophy,unlatched,Academia,,Baden-Baden,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2015-01-01,9783896656483,,,,
2827,Kierkegaard as Psychologist,book,en,Psychology,unlatched,Northwestern University Press,,"Evanston, Illinois",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-08-07,"cc-by-nc-nd,",2015-07-21,9780810131316,9780810131811,9780810131323,,
2427,"Knowledge, democracy and action",book,en,Political Science,unlatched,Manchester University Press,,Manchester,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-05,"cc-by-nc-nd,",2013-11-30,9780719089787,,,,
3090,Labour and Employment in a Globalising World,book,en,Sociology,unlatched,Peter Lang International Academic Publishers,,Brussels,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-02-01,"cc-by,",2011-06-17,,9789052016580,9783035260243,,10.3726/978-3-0352-6024-3
2619,Labyrinths of Deceit,book,en,Literature,unlatched,Liverpool University Press,,Liverpool,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-23,"cc-by-nc-nd,",2007-01-01,9780853238492,,,,
2123,Language-Learner Computer Interactions,book,en,Linguistics,unlatched,John Benjamins Publishing Company,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2016-06-14,9789027257512,,9789027266989,,10.1075/lsse.2
2085,Lenin Reloaded,book,en,Literature,unlatched,Duke University Press,,"Durham, NC",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"arr,",2007-06-01,9780822339298,,9780822389552,,
2876,Life After Guns,book,en,Anthropology,unlatched,Rutgers University Press,,New Brunswick,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-07,"cc-by-nc-nd,",2017-05-05,9780813573489,,,,
2058,Loan Phonology,book,en,Linguistics,unlatched,John Benjamins Publishing Company,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2009-11-30,9789027248237,,9789027288967,,10.1075/cilt.307
2764,Made in Africa,book,en,Economics,unlatched,Brookings Institution Press,,"Washington, DC",=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-03-08,"cc-by-nc-nd,",2016-02-23,,9780815728153,9780815728177,9780815728160,
