"Institution","period","currency","apc","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","url","euro"
"Bern University of Applied Sciences","2024-02-25","EUR","3291.65","10.1007/s41669-024-00480-z","TRUE","Springer","PharmacoEconomics Open","2509-4262","CC BY NC","https://link.springer.com/article/10.1007/s41669-024-00480-z","3291.65"
"Bern University of Applied Sciences","2024-02-14","EUR","3075.45","10.1186/s12913-024-10718-5","FALSE","BioMed Central","BMC Health Services Research","1472-6963","CC BY","https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-024-10718-5","3075.45"
"Bern University of Applied Sciences","2024-07-17","EUR","2751.15","10.1186/s12911-024-02615-y","FALSE","BioMed Central","BMC medical informatics and decision making","1472-6947","CC BY NC ND","https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-024-02615-y","2751.15"
"Bern University of Applied Sciences","2024-11-29","EUR","1230","10.1515/opth-2024-0035","FALSE","De Gruyter","Open Theology ","2300-6579","CC BY","https://www.degruyterbrill.com/document/doi/10.1515/opth-2024-0035/html?lang=de","1230"
"Bern University of Applied Sciences","2024-09-09","EUR","2490","10.1186/s12891-024-07861-9","FALSE","BioMed Central","BMC Musculoskeletal Disorders","1471-2474","CC BY NC ND","https://bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/s12891-024-07861-9","2490"
"Bern University of Applied Sciences","2024-09-09","EUR","683.06","10.5194/deuquasp-5-41-2024","TRUE","DEUQUA Special Publications ","DEUQUA Special Publications ","2625-8137","CC BY","https://deuquasp.copernicus.org/articles/5/41/2024/","683.06"
"Bern University of Applied Sciences","2024-05-21","EUR","2334.96","10.3390/bios14060266","FALSE","MDPI","Biosensors","2079-6374","CC BY","https://www.mdpi.com/2079-6374/14/6/266","2334.96"
"Bern University of Applied Sciences","2024-12-20","CHF","1378.5","10.18753/2297-8224-6236","FALSE","Universität Fribourg, Departement Sozialwissenschaften","Sozialpolitik.ch","2297-8224","CC BY","https://www.sozialpolitik.ch/article/view/6236","1482.74"
"Bern University of Applied Sciences","2024-04-27","EUR","332.42","10.1016/j.fsidi.2024.301769","TRUE","Elsevier","Forensic Science International: Digital Investigation","2666-2817","CC BY","https://www.sciencedirect.com/science/article/pii/S266628172400088X","332.42"
"Bern University of Applied Sciences","2024-06-12","EUR","1750","10.18332/ejm/189954","TRUE","EU European Publishing","European Journal of Midwifery","2585-2906","CC BY","https://www.europeanjournalofmidwifery.eu/The-role-of-an-advanced-practice-midwife-in-perinatal-mental-health-Outlining-the,189954,0,2.html","1750"
"Bern University of Applied Sciences","2024-09-23","EUR","2534.95","10.1038/s41598-024-73939-y ","FALSE","Springer Nature","Scientific Reports","2045-2322","CC BY NC ND","https://www.nature.com/articles/s41598-024-73939-y","2534.95"
"Bern University of Applied Sciences","2024-07-21","EUR","2334.96","10.3390/rs16152712","FALSE","MDPI","Remote Sensing","2072-4292 ","CC BY","https://www.mdpi.com/2072-4292/16/15/2712","2334.96"
"Bern University of Applied Sciences","2024-06-28","EUR","2075.52","10.3390/ani14132001","FALSE","MDPI","Animals : an open access journal from MDPI","2076-2615","CC BY","https://www.mdpi.com/2076-2615/14/13/2001","2075.52"
"Bern University of Applied Sciences","2024-12-03","EUR","1556.64","10.3390/jmmp8060289","FALSE","MDPI","Journal of Manufacturing and Materials Processing","2504-4494","CC BY","https://www.mdpi.com/2504-4494/8/6/289","1556.64"
"Bern University of Applied Sciences","2024-11-08","EUR","2994.37","10.1111/caim.12648","TRUE","Wiley","Creativity and Innovation Management","1467-8691","CC BY","https://onlinelibrary.wiley.com/doi/full/10.1111/caim.12648","2994.37"
"Bern University of Applied Sciences","2024-11-19","EUR","4972.6","10.1111/obr.13875","TRUE","Wiley","Obesity Reviews","1467-789X","CC BY","https://onlinelibrary.wiley.com/doi/10.1111/obr.13875","4972.6"
"Bern University of Applied Sciences","2024-11-19","EUR","4540.2","10.1111/inm.13482","TRUE","Wiley","International Journal of Mental Health Nursing","1445-8330","CC BY","https://onlinelibrary.wiley.com/doi/10.1111/inm.13482","4540.2"
"Bern University of Applied Sciences","2024-06-03","EUR","930","10.5194/amt-17-4649-2024","FALSE","Copernicus","Atmospheric Measurement Techniques","1867-8548","CC BY","https://amt.copernicus.org/articles/17/4649/2024/","930"
"Bern University of Applied Sciences","2024-04-03","EUR","2534.95","10.1038/s41598-024-58838-6","FALSE","Springer Nature","Scientific Reports","2045-2322","CC BY","https://www.nature.com/articles/s41598-024-58838-6","2534.95"
